size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       20.97300        48.47400        22.21300        22.91600        35.86200        41.18900        46.07800        84.92200        196.27600       89.94300        92.79000        145.20800       166.77600       186.57400      
2048       17.56700        45.12200        17.62400        17.78400        32.47900        37.72300        42.39300        71.13200        182.70300       71.36100        72.00700        131.51000       152.74100       171.65100      
4096       11.34800        37.24500        14.59500        11.36100        25.33500        29.97100        34.28400        45.94700        150.80800       59.09600        46.00200        102.58400       121.35400       138.81600      
8192       11.26700        36.98600        12.25200        11.27600        25.26300        29.85600        34.16200        45.62200        149.75900       49.60800        45.65700        102.29000       120.88800       138.32500      
16384      11.02400        34.52300        11.19100        11.03700        22.73100        27.31900        31.73300        44.63600        139.78500       45.31400        44.69100        92.03800        110.61800       128.48900      
32768      11.02000        34.18700        11.02200        11.02900        22.19000        26.84600        31.38800        44.61900        138.42400       44.62900        44.65900        89.85000        108.70200       127.09400      
65536      11.02000        26.99300        10.62700        11.02500        18.73800        22.14300        25.23600        44.61900        109.29500       43.03000        44.63900        75.87100        89.66000        102.18300      
131072     8.99500         23.18500        9.28700         9.11900         15.78400        18.51800        21.19200        36.42200        93.87600        37.60400        36.92300        63.91200        74.98200        85.80800       
262144     8.95900         16.54700        8.34600         8.95900         12.70800        14.21400        15.65000        36.27400        66.99900        33.79100        36.27700        51.45600        57.55500        63.36600       
524288     8.48200         5.15600         5.04200         7.93600         5.19500         5.14400         5.14200         34.34400        20.87500        20.41300        32.13300        21.03500        20.82700        20.82000       
1048576    2.95400         2.98800         3.15200         2.95400         2.98300         2.98500         2.98700         11.96000        12.09800        12.76200        11.96200        12.07900        12.08800        12.09500       
2097152    2.95000         2.97400         3.02800         2.95000         2.97200         2.97300         2.97400         11.94300        12.04300        12.26100        11.94500        12.03300        12.03700        12.04100       
4194304    2.92900         2.94300         2.93500         2.93000         2.94100         2.94200         2.94200         11.86000        11.91500        11.88400        11.86300        11.91000        11.91200        11.91400       
8388608    2.79200         2.79500         2.69400         2.79600         2.79400         2.79500         2.79500         11.30400        11.31700        10.90800        11.32000        11.31500        11.31600        11.31700       
