size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       20.95800        45.92100        21.70800        22.89700        33.20200        38.39200        43.21000        84.95700        186.15300       87.99900        92.82000        134.59200       155.63400       175.16400      
2048       12.88600        42.53900        15.00800        12.86400        29.86900        35.00000        39.73900        52.23700        172.44500       60.84100        52.14600        121.08400       141.88300       161.09300      
4096       11.41100        37.85200        13.17700        11.45000        25.52900        30.31300        34.81000        46.26000        153.44400       53.41700        46.41600        103.48800       122.88300       141.11300      
8192       11.08300        37.46000        12.93700        11.10100        25.12800        29.99300        34.59200        44.92700        151.85600       52.44200        45.00000        101.86500       121.58400       140.23000      
16384      11.06600        37.23600        11.36400        11.08300        25.00300        29.87400        34.48200        44.85800        150.94500       46.06700        44.92900        101.35600       121.10300       139.78200      
32768      11.06500        34.54200        10.11400        11.07400        22.78200        27.47000        31.94500        44.85500        140.02700       40.99900        44.89300        92.35200        111.35600       129.50000      
65536      8.84600         29.58600        5.86500         7.10500         17.04700        22.01000        26.81000        35.86000        119.93400       23.77600        28.80000        69.10600        89.22300        108.68100      
131072     2.96100         26.94000        3.42000         2.96700         14.52400        19.30600        24.01200        12.00300        109.20700       13.86400        12.02900        58.87800        78.26100        97.34200       
262144     2.95600         15.49300        3.07000         2.96000         8.68700         11.29100        13.98100        11.98500        62.80300        12.44500        12.00000        35.21400        45.77300        56.67800       
524288     2.94200         2.95700         2.93600         2.94400         2.95400         2.95500         2.95600         11.92600        11.98600        11.90200        11.93300        11.97400        11.97900        11.98400       
1048576    2.89300         2.89400         2.74500         2.87500         2.89400         2.89400         2.89400         11.72600        11.73300        11.12600        11.65400        11.73300        11.73300        11.73300       
2097152    2.17100         2.16900         2.27400         2.19900         2.16900         2.16900         2.16900         8.79900         8.79400         9.22000         8.91500         8.79500         8.79400         8.79400        
4194304    1.61000         1.61100         1.63200         1.61000         1.61100         1.61100         1.61100         6.52700         6.52900         6.61800         6.52500         6.52900         6.52900         6.52900        
8388608    0.13600         0.12700         0.13500         0.08900         0.12700         0.12700         0.12700         0.55100         0.51400         0.54800         0.36000         0.51600         0.51500         0.51500        
