size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       14.18300        21.69800        14.88900        14.70300        19.57200        20.68700        21.62000        42.23500        64.61300        44.33900        43.78500        58.28400        61.60300        64.38200       
2048       11.76200        14.54400        11.63000        12.35400        13.69500        14.20300        14.55800        35.02700        43.31000        34.63300        36.79000        40.78200        42.29400        43.35300       
4096       9.25800         10.48900        8.70000         9.51400         10.22100        10.41900        10.40100        27.56900        31.23400        25.90700        28.33100        30.43700        31.02600        30.97300       
8192       8.85400         9.31100         7.79800         8.86200         9.34300         9.33400         9.31700         26.36500        27.72800        23.22200        26.39100        27.82300        27.79600        27.74500       
16384      4.83800         4.94100         6.43300         6.50100         4.91000         4.92400         4.93500         14.40800        14.71500        19.15600        19.36000        14.62300        14.66300        14.69600       
32768      4.82300         4.90100         5.22200         5.44200         4.88000         4.89000         4.89700         14.36400        14.59600        15.55000        16.20700        14.53300        14.56100        14.58300       
65536      4.22100         4.24800         2.97000         4.12800         4.24000         4.24300         4.24600         12.56900        12.65100        8.84300         12.29300        12.62500        12.63600        12.64600       
131072     0.60300         0.60400         1.17200         1.04100         0.60400         0.60400         0.60400         1.79600         1.79800         3.48900         3.10000         1.79800         1.79800         1.79800        
262144     0.42000         0.42000         0.68000         0.65500         0.42000         0.42000         0.42000         1.25100         1.25100         2.02600         1.95100         1.25100         1.25100         1.25100        
524288     0.41600         0.41600         0.52300         0.51500         0.41600         0.41600         0.41600         1.23900         1.23900         1.55900         1.53500         1.23900         1.23900         1.23900        
1048576    0.41600         0.41600         0.46500         0.46200         0.41600         0.41600         0.41600         1.23900         1.23900         1.38400         1.37400         1.23900         1.23900         1.23900        
2097152    0.41600         0.41600         0.44000         0.43900         0.41600         0.41600         0.41600         1.23900         1.23900         1.31100         1.30700         1.23900         1.23900         1.23900        
4194304    0.41600         0.41600         0.42800         0.42700         0.41600         0.41600         0.41600         1.23900         1.23900         1.27500         1.27300         1.23900         1.23900         1.23900        
8388608    0.41600         0.41600         0.42200         0.42200         0.41600         0.41600         0.41600         1.23900         1.23900         1.25500         1.25500         1.23900         1.23900         1.23900        
