size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       20.19500        23.94900        20.26400        20.88500        22.55800        22.65200        22.75700        79.51800        94.29900        79.78900        82.23400        88.82500        89.19200        89.60700       
2048       15.78500        17.87400        16.08300        16.32600        16.37800        16.46200        16.56200        62.15200        70.37800        63.32600        64.28300        64.49000        64.81800        65.21100       
4096       10.65200        15.21900        12.45900        10.94700        13.27100        13.54200        13.79900        41.94300        59.92500        49.05900        43.10300        52.25600        53.32300        54.33300       
8192       9.46700         12.44000        10.61900        9.86400         11.14200        11.23000        11.29700        37.27600        48.98200        41.81200        38.83900        43.87200        44.21700        44.48100       
16384      9.10600         10.15500        9.71400         9.38600         10.05200        10.08900        10.11500        35.85500        39.98700        38.24800        36.95800        39.58100        39.72800        39.82700       
32768      8.63900         9.19100         9.04800         8.90000         9.14400         9.16300         9.17500         34.01700        36.19000        35.62500        35.04500        36.00400        36.07800        36.12800       
65536      8.09000         8.18700         8.46700         8.40100         8.17900         8.18300         8.18600         31.85600        32.23700        33.34100        33.07900        32.20500        32.22100        32.23200       
131072     7.58000         7.59700         7.94200         7.91100         7.59500         7.59600         7.59600         29.84600        29.91200        31.27100        31.15000        29.90500        29.90800        29.91000       
262144     7.12900         7.12000         7.45100         7.43500         7.12000         7.12000         7.12000         28.07000        28.03400        29.33700        29.27400        28.03500        28.03500        28.03400       
524288     6.70600         6.69200         6.99300         6.98000         6.69300         6.69200         6.69200         26.40600        26.35000        27.53400        27.48400        26.35200        26.35100        26.35000       
1048576    6.32300         6.31900         6.58100         6.56700         6.31900         6.31900         6.31900         24.89600        24.88300        25.91500        25.85900        24.88200        24.88200        24.88200       
2097152    5.98200         6.00600         6.21100         6.20400         6.00300         6.00400         6.00500         23.55300        23.64700        24.45500        24.42900        23.63800        23.64200        23.64600       
4194304    5.62700         5.69400         5.83900         5.83700         5.68700         5.69100         5.69300         22.15600        22.42100        22.99200        22.98400        22.39400        22.40700        22.41600       
8388608    5.22400         5.33800         5.43400         5.43500         5.32400         5.33100         5.33500         20.57000        21.01800        21.39600        21.39900        20.96400        20.99000        21.00900       
