size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       13.37800        15.43800        14.68600        14.29300        14.68200        14.70700        14.81200        47.72500        55.07400        52.39200        50.98900        52.37800        52.46500        52.84000       
2048       10.40800        12.61200        9.36300         11.19900        9.93600         10.04900        10.45500        37.13000        44.99100        33.40300        39.95200        35.44600        35.84900        37.29900       
4096       3.16400         5.29600         4.63800         3.83000         3.33300         3.45500         3.84000         11.28700        18.89300        16.54500        13.66200        11.89200        12.32700        13.69900       
8192       2.72100         3.18500         3.54800         3.18500         2.81200         2.83700         2.87900         9.70700         11.36300        12.65700        11.36200        10.03100        10.12200        10.26900       
16384      2.66800         2.76400         2.91800         2.90500         2.72700         2.73800         2.74600         9.51600         9.86000         10.40900        10.36200        9.73000         9.76700         9.79700        
32768      2.63100         2.67000         2.75700         2.75000         2.66600         2.66800         2.67000         9.38700         9.52600         9.83500         9.81100         9.51100         9.51800         9.52400        
65536      2.58300         2.62900         2.63800         2.64800         2.62400         2.62600         2.62800         9.21600         9.37800         9.41200         9.44600         9.36000         9.36900         9.37500        
131072     2.47700         2.51800         2.45500         2.51100         2.51300         2.51500         2.51700         8.83700         8.98200         8.75900         8.95900         8.96400         8.97300         8.97900        
262144     2.08500         2.10200         1.94800         2.03500         2.10000         2.10100         2.10100         7.43800         7.49800         6.94900         7.25900         7.49200         7.49500         7.49700        
524288     1.26200         1.27600         1.17000         1.20800         1.27400         1.27500         1.27500         4.50200         4.55100         4.17400         4.31100         4.54500         4.54700         4.54900        
1048576    0.78000         0.78900         0.73500         0.76100         0.78800         0.78900         0.78900         2.78100         2.81600         2.62100         2.71500         2.81200         2.81400         2.81600        
2097152    0.46900         0.47000         0.42200         0.45000         0.47000         0.47000         0.47000         1.67400         1.67800         1.50500         1.60500         1.67800         1.67800         1.67800        
4194304    0.05500         0.05500         0.09900         0.05200         0.05500         0.05500         0.05500         0.19700         0.19700         0.35200         0.18400         0.19700         0.19700         0.19700        
8388608    0.03900         0.03900         0.05300         0.03900         0.03900         0.03900         0.03900         0.13900         0.13900         0.18800         0.13900         0.13900         0.13900         0.13900        
