size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       35.38000        41.57300        38.51300        37.59200        39.98800        40.49100        41.19100        142.09000       166.96100       154.67400       150.97500       160.59600       162.61500       165.42900      
2048       34.66900        36.01100        36.06500        35.49300        35.79000        35.88600        35.96800        139.23400       144.62500       144.84200       142.54400       143.73900       144.12200       144.45300      
4096       34.19700        34.75800        34.68400        34.65000        34.64300        34.67600        34.69900        137.34000       139.59300       139.29600       139.15800       139.13200       139.26400       139.35700      
8192       33.89400        34.12100        34.10500        34.07700        34.08500        34.08300        34.08100        136.12100       137.03600       136.96800       136.85800       136.88800       136.88400       136.87500      
16384      33.78700        33.61900        33.64600        33.89400        33.58100        33.55700        33.55900        135.69300       135.01800       135.12600       136.12400       134.86800       134.77100       134.77900      
32768      33.44600        32.94300        32.24000        33.48100        32.75700        32.79900        32.85700        134.32300       132.30500       129.48000       134.46400       131.55800       131.72500       131.95700      
65536      31.47100        28.95800        27.13700        30.70500        30.19100        29.76500        29.24200        126.39000       116.30000       108.98700       123.31600       121.25200       119.54200       117.44100      
131072     25.49400        22.33100        23.57500        24.22900        22.96200        22.60800        22.55300        102.38900       89.68400        94.67900        97.30800        92.21900        90.79800        90.57700       
262144     22.31700        17.91100        19.48300        21.21200        17.48000        17.67100        18.01100        89.62800        71.93200        78.24600        85.18900        70.20300        70.96800        72.33400       
524288     15.70000        15.58300        14.97200        15.26700        13.10700        13.52500        14.22700        63.05400        62.58400        60.12900        61.31600        52.64000        54.31700        57.13900       
1048576    13.98600        11.04800        10.90800        14.01700        9.32000         9.87000         10.58000        56.17000        44.37000        43.80900        56.29300        37.43200        39.64000        42.48900       
2097152    12.73900        9.31900         8.75600         12.74400        7.71800         8.26900         8.88300         51.16000        37.42700        35.16500        51.18100        30.99600        33.21100        35.67500       
4194304    11.72400        8.32000         7.12000         11.61600        6.56100         7.16700         7.76200         47.08700        33.41300        28.59500        46.65200        26.35100        28.78400        31.17500       
8388608    11.31600        7.77500         6.61900         11.32000        5.91500         6.40300         6.86300         45.44700        31.22600        26.58400        45.46200        23.75600        25.71600        27.56300       
