size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       31.19200        38.20000        32.98400        32.49000        36.62000        37.32500        37.93900        117.40200       143.77900       124.14800       122.28900       137.83500       140.48700       142.79900      
2048       30.73900        32.26300        31.52300        31.11000        31.95600        32.08600        32.19400        115.69600       121.43300       118.64900       117.09500       120.27700       120.76700       121.17400      
4096       30.38600        30.94200        30.61300        30.61300        30.81500        30.84500        30.86300        114.37000       116.46000       115.22200       115.22400       115.98400       116.09700       116.16500      
8192       30.03100        29.23400        29.85900        30.16600        29.90600        29.72300        29.40400        113.03200       110.03400       112.38400       113.54100       112.56300       111.87200       110.67200      
16384      29.69500        27.56500        28.69300        29.78500        27.88400        27.61500        27.53300        111.76800       103.75300       107.99800       112.10800       104.95100       103.94000       103.63000      
32768      28.31100        24.03300        24.63100        28.18200        23.95900        23.97900        24.11300        106.56000       90.45900        92.70900        106.07300       90.18000        90.25300        90.75800       
65536      16.30100        10.24100        12.13400        15.21900        9.16000         9.47600         9.93800         61.35600        38.54600        45.66900        57.28100        34.47600        35.66600        37.40500       
131072     1.30800         1.68100         2.44800         1.57300         1.36500         1.42300         1.52000         4.92300         6.32600         9.21500         5.92000         5.13800         5.35800         5.72000        
262144     1.16900         1.18400         1.37200         1.28000         1.17900         1.18100         1.18300         4.40000         4.45500         5.16500         4.81600         4.43700         4.44500         4.45100        
524288     1.04000         1.03800         0.94400         1.07100         1.03800         1.03800         1.03800         3.91300         3.90600         3.55400         4.03000         3.90700         3.90700         3.90600        
1048576    0.66700         0.65900         0.43000         0.65400         0.66000         0.65900         0.65900         2.51100         2.48100         1.61900         2.46000         2.48300         2.48200         2.48200        
2097152    0.22700         0.22400         0.07700         0.09200         0.22400         0.22400         0.22400         0.85400         0.84100         0.29100         0.34500         0.84200         0.84200         0.84200        
4194304    0.00500         0.00500         0.00600         0.00500         0.00500         0.00500         0.00500         0.01700         0.01700         0.02100         0.02000         0.01700         0.01700         0.01700        
8388608    0.00200         0.00200         0.00300         0.00200         0.00200         0.00200         0.00200         0.00800         0.00800         0.01300         0.00800         0.00800         0.00800         0.00800        
