size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       32.49800        39.56900        35.52000        34.90600        38.05500        38.71500        39.29300        130.43700       158.81900       142.56500       140.10300       152.74200       155.39200       157.70800      
2048       29.76600        31.74800        31.12400        31.12100        31.47000        31.61700        31.72000        119.47000       127.42700       124.92100       124.90900       126.31000       126.90200       127.31300      
4096       28.02600        28.57900        28.26100        28.80600        28.32400        28.34800        28.38000        112.48800       114.70900       113.43000       115.61700       113.68500       113.78000       113.90700      
8192       26.91400        27.06300        26.55500        27.09900        26.73400        26.78900        26.84400        108.02300       108.62100       106.58500       108.76500       107.30000       107.52300       107.74200      
16384      25.85100        24.19200        22.43400        25.87600        24.88300        24.78800        24.40000        103.76000       97.10000        90.04200        103.85800       99.87400        99.49300        97.93200       
32768      18.77900        16.87500        19.10200        18.94100        17.66300        17.18200        16.91100        75.37400        67.73100        76.67100        76.02400        70.89300        68.96300        67.87400       
65536      18.55700        13.97900        17.89700        18.59900        14.83600        14.53600        14.43500        74.48000        56.10800        71.83400        74.65000        59.54500        58.34300        57.93600       
131072     17.84700        9.86600         12.46500        17.32300        9.86400         10.03900        10.20100        71.63400        39.60000        50.03100        69.53000        39.59300        40.29100        40.94400       
262144     3.98700         2.45000         2.95900         2.29000         1.86000         2.05900         2.28700         16.00200        9.83400         11.87800        9.19200         7.46600         8.26400         9.18100        
524288     1.25500         0.92300         1.58600         0.94800         0.81400         0.85700         0.90000         5.03800         3.70300         6.36500         3.80400         3.26800         3.43900         3.61200        
1048576    0.45500         0.45400         0.38800         0.49800         0.45400         0.45400         0.45400         1.82800         1.82400         1.55700         1.99700         1.82400         1.82400         1.82400        
2097152    0.00800         0.00800         0.01200         0.00800         0.00800         0.00800         0.00800         0.03400         0.03400         0.04900         0.03100         0.03400         0.03400         0.03400        
4194304    0.00600         0.00600         0.00800         0.00600         0.00600         0.00600         0.00600         0.02500         0.02500         0.03100         0.02500         0.02500         0.02500         0.02500        
8388608    0.00600         0.00600         0.00700         0.00600         0.00600         0.00600         0.00600         0.02500         0.02500         0.02800         0.02500         0.02500         0.02500         0.02500        
