size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       14.32800        17.27900        14.47300        14.64100        16.41600        16.97200        17.27800        42.93600        51.77800        43.36900        43.87300        49.19200        50.85800        51.77700       
2048       13.93700        15.09000        13.78300        14.02500        14.77100        14.84800        14.90300        41.76300        45.21900        41.30300        42.02700        44.26200        44.49500        44.65800       
4096       12.38800        12.18400        13.10300        13.02200        12.19700        11.94600        11.85900        37.12300        36.51000        39.26500        39.02100        36.54900        35.79700        35.53800       
8192       12.34000        11.92200        12.51000        12.66700        11.14200        11.27300        11.66800        36.97900        35.72400        37.48700        37.95700        33.38800        33.78100        34.96300       
16384      12.24100        11.79400        10.88100        12.34200        10.45500        11.07500        11.56200        36.68100        35.34200        32.60500        36.98300        31.32900        33.18800        34.64700       
32768      6.99100         11.71200        7.35600         6.27300         10.34000        11.01400        11.50100        20.95000        35.09500        22.04400        18.79800        30.98600        33.00400        34.46500       
65536      5.13100         8.26000         5.80500         5.19800         5.62400         5.94000         6.69100         15.37700        24.75300        17.39600        15.57700        16.85200        17.80100        20.05200       
131072     5.12900         5.28900         5.39200         5.16200         5.21200         5.24100         5.27000         15.37000        15.85000        16.15800        15.47000        15.61800        15.70500        15.79300       
262144     5.11800         5.13200         5.16100         5.13600         5.13000         5.13100         5.13100         15.33600        15.37800        15.46600        15.39100        15.37100        15.37400        15.37700       
524288     5.06600         5.06700         4.91100         5.06400         5.06700         5.06700         5.06700         15.18100        15.18300        14.71800        15.17600        15.18200        15.18300        15.18300       
1048576    4.62900         4.62900         4.06900         4.44200         4.62900         4.62900         4.62900         13.87000        13.87200        12.19200        13.31000        13.87100        13.87100        13.87200       
2097152    1.62900         1.63000         1.15400         1.57200         1.63000         1.63000         1.63000         4.88200         4.88300         3.45800         4.71200         4.88300         4.88300         4.88300        
4194304    0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00100         0.00000         0.00000         0.00000         0.00000        
8388608    0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000        
