size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       14.66900        17.68900        14.81000        14.98200        16.77200        17.32200        17.65800        43.74500        52.75200        44.16500        44.68000        50.01500        51.65600        52.65900       
2048       14.24900        15.53600        14.03900        14.34600        15.13800        15.22100        15.28200        42.49300        46.33100        41.86500        42.78300        45.14500        45.39200        45.57300       
4096       12.58800        12.40200        13.33900        13.24800        12.38000        12.12300        12.03600        37.53800        36.98400        39.77800        39.50700        36.91800        36.15100        35.89400       
8192       12.52400        12.12700        12.70400        12.87200        11.29400        11.42500        11.82600        37.34700        36.16500        37.88400        38.38700        33.68000        34.07000        35.26700       
16384      12.42300        11.99800        11.03700        12.53200        10.58100        11.21400        11.72000        37.04700        35.77900        32.91400        37.37200        31.55400        33.44300        34.95100       
32768      7.06800         11.88000        7.41700         6.38400         10.45900        11.14900        11.65300        21.07600        35.42700        22.11700        19.03700        31.19000        33.24900        34.75100       
65536      5.12200         8.10400         5.81700         5.19300         5.49400         5.74100         6.44300         15.27500        24.16800        17.34600        15.48600        16.38500        17.12100        19.21300       
131072     5.12000         5.29900         5.39100         5.15500         5.20500         5.23500         5.26700         15.26800        15.80200        16.07600        15.37300        15.52200        15.61100        15.70600       
262144     5.10700         5.12100         5.15100         5.12600         5.11900         5.12000         5.12000         15.23000        15.27100        15.36100        15.28700        15.26500        15.26800        15.27000       
524288     5.04900         5.04900         4.89000         5.04500         5.04900         5.04900         5.04900         15.05600        15.05600        14.58200        15.04600        15.05600        15.05600        15.05600       
1048576    4.57200         4.57200         4.01400         4.39500         4.57200         4.57200         4.57200         13.63500        13.63500        11.97000        13.10700        13.63500        13.63500        13.63500       
2097152    1.59900         1.59900         1.13500         1.54300         1.59900         1.59900         1.59900         4.77000         4.77000         3.38400         4.60200         4.77000         4.77000         4.77000        
4194304    0.00100         0.00100         0.00200         0.00100         0.00100         0.00100         0.00100         0.00400         0.00400         0.00500         0.00400         0.00400         0.00400         0.00400        
8388608    0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00400         0.00400         0.00400         0.00400         0.00400         0.00400         0.00400        
