size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       14.94700        16.97200        12.99200        17.07400        12.27800        13.99000        15.76500        46.03200        52.26800        40.01200        52.58300        37.81400        43.08600        48.55000       
2048       3.40300         16.21800        3.50900         3.63700         10.10200        12.74600        14.95300        10.48100        49.94700        10.80600        11.20000        31.11100        39.25400        46.05200       
4096       1.93700         14.20700        2.55900         2.00200         7.83600         10.29600        12.64700        5.96500         43.75300        7.88200         6.16600         24.13400        31.71000        38.94800       
8192       1.93400         7.69500         2.07600         1.96900         4.63700         5.80700         6.95900         5.95700         23.69800        6.39300         6.06300         14.27900        17.88400        21.43100       
16384      1.92500         4.67900         1.94600         1.94000         3.30000         3.85400         4.36900         5.92800         14.40900        5.99300         5.97400         10.16400        11.87000        13.45400       
32768      1.89900         4.64300         1.85300         1.90600         3.26800         3.82100         4.33400         5.84900         14.30000        5.70700         5.87000         10.06600        11.76900        13.34700       
65536      1.80100         3.95200         1.62900         1.80800         2.76400         3.19900         3.63300         5.54700         12.17000        5.01500         5.56900         8.51100         9.85100         11.18800       
131072     1.45300         1.82800         1.14800         1.48200         1.62600         1.70100         1.77500         4.47400         5.63100         3.53600         4.56500         5.00700         5.23900         5.46600        
262144     0.62100         0.90800         0.75300         0.68300         0.75500         0.81300         0.86800         1.91100         2.79600         2.32000         2.10400         2.32600         2.50300         2.67300        
524288     0.60100         0.86700         0.65300         0.60200         0.71800         0.77200         0.82500         1.85200         2.67000         2.01000         1.85300         2.21300         2.37700         2.54100        
1048576    0.59900         0.82100         0.61600         0.60000         0.69700         0.74100         0.78600         1.84600         2.52700         1.89600         1.84700         2.14600         2.28300         2.42000        
2097152    0.59500         0.81600         0.59900         0.59500         0.69200         0.73700         0.78100         1.83200         2.51300         1.84400         1.83200         2.13200         2.26800         2.40500        
4194304    0.58500         0.58500         0.58400         0.58600         0.58500         0.58500         0.58500         1.80300         1.80300         1.79700         1.80500         1.80300         1.80300         1.80300        
8388608    0.56100         0.56100         0.56000         0.56200         0.56100         0.56100         0.56100         1.72700         1.72700         1.72300         1.72900         1.72700         1.72700         1.72700        
