size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       15.27700        17.25200        17.53800        17.95300        13.81200        14.74700        16.05300        46.98400        53.05900        53.93700        55.21400        42.47700        45.35400        49.37100       
2048       13.38700        16.48200        14.31100        14.98700        12.32200        13.63100        15.27700        41.17100        50.69000        44.01400        46.09200        37.89600        41.92300        46.98300       
4096       7.96900         15.71400        7.48800         8.55100         10.46300        12.60700        14.58800        24.50800        48.32900        23.03000        26.29700        32.17900        38.77100        44.86600       
8192       2.18700         14.87800        3.16800         2.25600         9.38600         11.86900        13.95300        6.72700         45.75800        9.74500         6.93800         28.86600        36.50100        42.91200       
16384      1.88800         11.92900        2.37900         1.90600         7.30600         9.52300         11.44000        5.80800         36.68700        7.31700         5.86200         22.47000        29.28900        35.18500       
32768      1.80400         6.68800         1.77200         1.81100         4.17800         5.24400         6.29200         5.54800         20.56900        5.45000         5.57000         12.84800        16.12900        19.35100       
65536      1.39600         2.21400         1.29700         1.42800         1.76400         1.93000         2.09700         4.29300         6.80900         3.99000         4.39100         5.42600         5.93600         6.45000        
131072     1.04700         1.09300         1.01300         1.07300         1.06800         1.07700         1.08600         3.22100         3.36000         3.11400         3.30000         3.28400         3.31100         3.34100        
262144     0.65900         0.70200         0.71000         0.67400         0.67800         0.68600         0.69600         2.02500         2.16000         2.18300         2.07300         2.08400         2.11100         2.14000        
524288     0.59500         0.59500         0.61700         0.59700         0.59500         0.59500         0.59500         1.83100         1.83100         1.89800         1.83500         1.83100         1.83100         1.83100        
1048576    0.57900         0.57900         0.58700         0.57200         0.57900         0.57900         0.57900         1.78200         1.78200         1.80500         1.76100         1.78200         1.78200         1.78200        
2097152    0.55400         0.55400         0.55100         0.56100         0.55400         0.55400         0.55400         1.70300         1.70300         1.69600         1.72400         1.70300         1.70300         1.70300        
4194304    0.50400         0.50400         0.50500         0.47500         0.50400         0.50400         0.50400         1.54900         1.54900         1.55200         1.46200         1.54900         1.54900         1.54900        
8388608    0.40500         0.40500         0.42900         0.43100         0.40500         0.40500         0.40500         1.24700         1.24700         1.31900         1.32600         1.24700         1.24700         1.24700        
