size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       19.96300        24.63900        22.28400        22.13400        24.18900        24.49500        24.67300        63.63100        78.53700        71.03100        70.55300        77.10300        78.07700        78.64700       
2048       15.33500        16.41000        16.74700        17.05600        16.23800        16.19600        16.28600        48.88100        52.30600        53.38100        54.36500        51.75900        51.62500        51.91000       
4096       9.30500         11.08100        10.46900        10.63400        9.60600         9.96500         10.12100        29.66000        35.32200        33.36900        33.89800        30.62000        31.76500        32.26100       
8192       6.00900         7.71600         7.29300         6.94700         6.65200         6.77700         6.86100         19.15300        24.59500        23.24800        22.14500        21.20300        21.60300        21.86900       
16384      5.30200         5.65800         5.99900         5.69300         5.64100         5.62500         5.65400         16.90100        18.03600        19.12100        18.14600        17.98100        17.93000        18.02200       
32768      4.97600         5.27900         5.32100         5.15100         5.25000         5.26700         5.27800         15.86200        16.82700        16.96000        16.41800        16.73500        16.79000        16.82200       
65536      4.70400         4.90400         4.81500         4.76700         4.88500         4.89700         4.90100         14.99300        15.63200        15.34700        15.19500        15.57200        15.60900        15.62300       
131072     4.10100         4.24100         4.50000         4.26500         4.22400         4.23900         4.24100         13.07200        13.51800        14.34500        13.59600        13.46300        13.51300        13.51800       
262144     4.01400         4.10800         4.25400         4.01600         4.10500         4.10500         4.10800         12.79600        13.09500        13.55900        12.80100        13.08600        13.08600        13.09500       
524288     4.01400         4.06100         4.14400         4.01400         4.05800         4.06100         4.06100         12.79600        12.94300        13.21000        12.79600        12.93400        12.94300        12.94300       
1048576    4.01400         4.05000         4.04800         4.01400         4.05000         4.05000         4.05000         12.79600        12.91100        12.90200        12.79600        12.91100        12.91100        12.91100       
2097152    4.01400         4.02200         4.02000         4.01400         4.02200         4.02200         4.02200         12.79600        12.81900        12.81400        12.79600        12.81900        12.81900        12.81900       
4194304    4.01400         4.01900         4.02000         4.01400         4.01900         4.01900         4.01900         12.79600        12.81000        12.81400        12.79600        12.81000        12.81000        12.81000       
8388608    4.01400         4.01700         4.01700         4.01400         4.01700         4.01700         4.01700         12.79600        12.80500        12.80500        12.79600        12.80500        12.80500        12.80500       
