size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       6.62500         9.89000         6.59600         6.73600         8.94300         9.42300         9.80600         23.61600        35.25300        23.51300        24.01200        31.87700        33.58900        34.95500       
2048       6.49800         8.00800         6.25600         6.57000         7.63600         7.85700         7.98100         23.16300        28.54500        22.30000        23.41900        27.21900        28.00700        28.45000       
4096       6.32600         6.97500         5.82600         6.39700         6.84200         6.90900         6.92300         22.54900        24.86200        20.76900        22.80400        24.38900        24.62700        24.67600       
8192       5.58000         5.76200         4.93200         5.75200         5.72700         5.72900         5.72500         19.89000        20.54100        17.58000        20.50200        20.41400        20.42100        20.40800       
16384      2.54700         2.56900         3.63100         2.97800         2.54800         2.54800         2.54800         9.07900         9.15700         12.94300        10.61500        9.08300         9.08300         9.08300        
32768      2.49000         2.48800         2.98900         2.68600         2.48800         2.48800         2.48800         8.87600         8.87000         10.65500        9.57500         8.86900         8.86900         8.86900        
65536      2.47700         2.47600         2.56400         2.56800         2.47500         2.47500         2.47500         8.83000         8.82500         9.14100         9.15600         8.82100         8.82200         8.82400        
131072     2.46300         2.46800         2.49900         2.50700         2.46500         2.46600         2.46700         8.78100         8.79700         8.90800         8.93600         8.78700         8.78900         8.79200        
262144     2.44400         2.44400         2.43700         2.46400         2.44400         2.44400         2.44400         8.71100         8.71300         8.68700         8.78200         8.71200         8.71300         8.71300        
524288     2.39000         2.39000         2.30700         2.39300         2.39000         2.39000         2.39000         8.51800         8.51800         8.22200         8.53000         8.51800         8.51800         8.51800        
1048576    2.22200         2.22200         1.95600         2.20800         2.22200         2.22200         2.22200         7.92100         7.92100         6.97200         7.87000         7.92100         7.92100         7.92100        
2097152    1.66800         1.66800         1.13600         1.61500         1.66800         1.66800         1.66800         5.94700         5.94400         4.05000         5.75700         5.94400         5.94400         5.94400        
4194304    0.45900         0.45900         0.12200         0.23200         0.45900         0.45900         0.45900         1.63700         1.63700         0.43400         0.82700         1.63700         1.63700         1.63700        
8388608    0.00200         0.00200         0.00300         0.00200         0.00200         0.00200         0.00200         0.00700         0.00700         0.01000         0.00700         0.00700         0.00700         0.00700        
