size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       22.33000        27.50900        25.74300        25.02500        25.02900        25.15900        25.52800        74.55500        91.84700        85.95100        83.55300        83.56600        83.99900        85.23300       
2048       18.51800        18.34200        19.10500        20.65400        16.33300        16.56000        17.02900        61.82900        61.23800        63.78800        68.96000        54.53100        55.29100        56.85700       
4096       10.59000        13.02100        12.63300        12.85700        10.74900        11.03600        11.51000        35.35900        43.47600        42.17900        42.92700        35.88900        36.84700        38.42900       
8192       8.13300         9.61400         9.54800         9.38800         8.69600         8.83800         9.06900         27.15500        32.09900        31.87800        31.34300        29.03500        29.51000        30.28000       
16384      7.35400         8.04800         7.98000         7.96900         7.55100         7.62700         7.75700         24.55500        26.87000        26.64400        26.60600        25.21100        25.46500        25.90000       
32768      6.57100         7.06300         6.88800         6.93200         6.63200         6.70300         6.82200         21.94100        23.58200        22.99900        23.14400        22.14400        22.37900        22.77600       
65536      5.84100         6.31500         6.08100         6.08200         5.92100         5.98700         6.09300         19.50200        21.08400        20.30400        20.30600        19.76900        19.98800        20.34400       
131072     5.35300         5.68600         5.45500         5.50300         5.39500         5.45100         5.53900         17.87200        18.98500        18.21400        18.37400        18.01400        18.20100        18.49400       
262144     4.84500         5.07100         4.80000         4.92500         4.85400         4.90300         4.97600         16.17800        16.93000        16.02800        16.44300        16.20700        16.37100        16.61300       
524288     4.15400         4.27100         3.97300         4.17200         4.10500         4.14600         4.20400         13.86800        14.26100        13.26600        13.92800        13.70700        13.84200        14.03700       
1048576    3.22800         3.30800         3.03000         3.25600         3.15900         3.18700         3.22700         10.77900        11.04400        10.11700        10.87100        10.54800        10.64100        10.77300       
2097152    2.19500         2.37900         2.05000         2.18600         2.18800         2.20900         2.23600         7.32900         7.94200         6.84500         7.29800         7.30500         7.37500         7.46700        
4194304    1.16800         1.17900         1.10900         1.19100         1.14100         1.14900         1.16100         3.89800         3.93800         3.70100         3.97700         3.80900         3.83600         3.87700        
8388608    0.31200         0.31000         0.37400         0.36300         0.29600         0.29900         0.30400         1.04200         1.03500         1.25000         1.21200         0.98900         0.99700         1.01400        
