size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       6.85700         17.50600        7.42500         7.24000         12.31100        14.26500        16.23600        18.65900        47.63300        20.20400        19.69900        33.49800        38.81300        44.17700       
2048       6.78100         12.51400        7.06400         6.94800         9.72200         10.77500        11.83600        18.45100        34.04900        19.22000        18.90500        26.45200        29.31700        32.20600       
4096       6.76800         10.15300        6.88800         6.85100         8.48100         9.11600         9.75900         18.41600        27.62700        18.74200        18.64200        23.07700        24.80500        26.55500       
8192       6.76200         7.92900         6.80300         6.80200         7.38700         7.59400         7.80000         18.39800        21.57600        18.51000        18.50700        20.09800        20.66400        21.22300       
16384      6.76000         7.37500         6.75700         6.77900         7.08900         7.20000         7.30800         18.39400        20.06800        18.38500        18.44600        19.28900        19.59000        19.88600       
32768      6.75200         7.09100         6.70900         6.76200         6.93300         6.99500         7.05500         18.37300        19.29500        18.25400        18.39800        18.86500        19.03300        19.19700       
65536      6.73700         6.94100         6.63300         6.73700         6.84500         6.88400         6.92000         18.33000        18.88700        18.04700        18.33200        18.62500        18.73000        18.83000       
131072     6.66700         6.77400         6.48000         6.65200         6.72200         6.74200         6.76100         18.13900        18.43100        17.63100        18.10100        18.29000        18.34400        18.39600       
262144     6.41800         6.46100         6.14200         6.40000         6.44100         6.44900         6.45600         17.46400        17.58100        16.71200        17.41400        17.52600        17.54700        17.56700       
524288     5.73500         5.74800         5.23800         5.72900         5.74300         5.74500         5.74700         15.60500        15.64000        14.25300        15.58900        15.62500        15.63100        15.63700       
1048576    3.68300         3.68600         2.89900         3.25200         3.68500         3.68500         3.68500         10.02200        10.02900        7.88800         8.84900         10.02500        10.02700        10.02800       
2097152    0.03400         0.03300         0.02600         0.02700         0.03300         0.03300         0.03300         0.09100         0.09100         0.07000         0.07300         0.09100         0.09100         0.09100        
4194304    0.01200         0.01200         0.01200         0.01200         0.01200         0.01200         0.01200         0.03300         0.03300         0.03300         0.03300         0.03300         0.03300         0.03300        
8388608    0.01200         0.01200         0.01100         0.01100         0.01200         0.01200         0.01200         0.03200         0.03200         0.03000         0.02900         0.03200         0.03200         0.03200        
