size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       6.50200         14.37300        7.17000         6.99900         10.45900        11.93000        13.42100        17.68200        39.08500        19.49800        19.03400        28.44200        32.44100        36.49500       
2048       6.17900         10.59800        6.47300         6.34200         8.40500         9.22500         10.06000        16.80400        28.81900        17.60400        17.24500        22.85700        25.08700        27.35800       
4096       6.12000         7.81700         6.19400         6.20100         7.01900         7.32200         7.62900         16.64100        21.25600        16.84500        16.86100        19.08600        19.91200        20.74500       
8192       6.08900         7.01200         6.05200         6.12100         6.57600         6.74100         6.90700         16.55900        19.06800        16.45800        16.64400        17.88200        18.33100        18.78300       
16384      6.03900         6.54300         5.92200         6.05100         6.29900         6.39400         6.48700         16.42100        17.79400        16.10500        16.45400        17.13000        17.38800        17.64100       
32768      5.90100         6.21300         5.68600         5.87800         6.05900         6.11800         6.17500         16.04600        16.89500        15.46200        15.98300        16.47700        16.63600        16.79200       
65536      5.50000         5.62400         5.18500         5.51300         5.56000         5.58200         5.60600         14.95600        15.29200        14.10000        14.99100        15.11900        15.18000        15.24400       
131072     4.38200         4.41100         3.63000         4.23500         4.39800         4.40300         4.40800         11.91600        11.99400        9.87100         11.51600        11.95900        11.97300        11.98700       
262144     0.82800         0.82800         0.59500         0.73800         0.82700         0.82800         0.82800         2.25200         2.25100         1.61900         2.00600         2.25000         2.25000         2.25100        
524288     0.05200         0.05200         0.05200         0.05200         0.05200         0.05200         0.05200         0.14100         0.14100         0.14100         0.14100         0.14100         0.14100         0.14100        
1048576    0.05000         0.05000         0.04800         0.05000         0.05000         0.05000         0.05000         0.13700         0.13700         0.13100         0.13700         0.13700         0.13700         0.13700        
2097152    0.03900         0.03900         0.03900         0.03600         0.03900         0.03900         0.03900         0.10600         0.10600         0.10600         0.09900         0.10600         0.10600         0.10600        
4194304    0.02100         0.02100         0.02800         0.02400         0.02100         0.02100         0.02100         0.05800         0.05800         0.07600         0.06400         0.05800         0.05800         0.05800        
8388608    0.01200         0.01200         0.01800         0.01400         0.01200         0.01200         0.01200         0.03300         0.03300         0.04800         0.03700         0.03300         0.03300         0.03300        
