size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       5.28800         5.97900         6.43200         6.53100         5.86200         5.91100         5.95400         33.12700        37.45500        40.29600        40.91600        36.72200        37.03100        37.30100       
2048       5.21000         5.50200         5.78100         5.81100         5.46300         5.48200         5.49100         32.63900        34.46600        36.21500        36.40400        34.22200        34.34000        34.39700       
4096       5.08500         5.20900         5.34000         5.36500         5.18900         5.18800         5.17900         31.85300        32.63000        33.45200        33.60700        32.50500        32.50000        32.44300       
8192       5.03100         4.99800         5.15000         5.15700         5.03200         5.00200         4.98000         31.51700        31.30900        32.26100        32.30800        31.52500        31.33400        31.19800       
16384      4.97200         4.72500         4.99300         5.03700         4.77900         4.74300         4.72200         31.14400        29.60000        31.27600        31.55300        29.93900        29.71600        29.58200       
32768      4.87500         4.27600         4.58900         4.84900         4.33400         4.30300         4.28200         30.53800        26.78400        28.74500        30.37800        27.14900        26.95900        26.82700       
65536      4.19200         2.96200         3.10600         3.79400         3.02100         2.98000         2.95500         26.25800        18.55600        19.46000        23.76600        18.92800        18.66700        18.51000       
131072     0.50600         0.56900         0.58900         0.39200         0.52100         0.52400         0.53000         3.16900         3.56600         3.68700         2.45300         3.26400         3.28500         3.32000        
262144     0.16600         0.16900         0.25000         0.17900         0.16800         0.16900         0.16900         1.03800         1.06000         1.56600         1.12000         1.05200         1.05600         1.05900        
524288     0.16100         0.16500         0.20000         0.16600         0.16300         0.16400         0.16500         1.00900         1.03200         1.25300         1.04300         1.02200         1.02700         1.03100        
1048576    0.15000         0.15300         0.15100         0.14900         0.15100         0.15200         0.15300         0.94100         0.95900         0.94500         0.93400         0.94700         0.95100         0.95600        
2097152    0.12300         0.12300         0.09900         0.11500         0.12300         0.12300         0.12300         0.77300         0.77300         0.62100         0.72100         0.77300         0.77300         0.77300        
4194304    0.06800         0.06800         0.04400         0.06800         0.06800         0.06800         0.06800         0.42600         0.42600         0.27500         0.42600         0.42600         0.42600         0.42600        
8388608    0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00600         0.00600         0.00600         0.00400         0.00600         0.00600         0.00600        
