size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       7.95600         15.53300        10.18400        13.92100        10.64600        12.33600        13.85900        26.16000        51.06900        33.48400        45.77100        35.00300        40.55800        45.56800       
2048       1.74800         10.64700        1.85000         1.82600         6.70600         8.38200         9.84700         5.74900         35.00600        6.08300         6.00300         22.04800        27.55800        32.37400       
4096       1.73600         10.38600        1.76100         1.76600         6.46900         8.11400         9.53900         5.70800         34.14900        5.78900         5.80500         21.27000        26.67600        31.36300       
8192       1.70400         9.47100         1.71300         1.71800         5.34200         6.91100         8.19200         5.60100         31.13800        5.63200         5.64900         17.56300        22.72200        26.93300       
16384      1.63200         5.89400         1.65100         1.66500         3.73200         4.69600         5.54500         5.36500         19.37800        5.43000         5.47400         12.27000        15.44100        18.23000       
32768      1.50800         3.70100         1.55100         1.53100         2.57000         3.00400         3.42300         4.95700         12.16900        5.09800         5.03400         8.44900         9.87800         11.25400       
65536      1.39500         3.21800         1.45600         1.40000         2.14700         2.52200         2.92300         4.58800         10.58200        4.78800         4.60300         7.06100         8.29200         9.60900        
131072     1.38100         2.97700         1.38100         1.38500         1.88600         2.20000         2.61700         4.54000         9.78700         4.53900         4.55500         6.20000         7.23500         8.60500        
262144     1.33700         1.47700         1.24900         1.34800         1.22300         1.28100         1.39000         4.39700         4.85700         4.10800         4.43100         4.02000         4.21100         4.57000        
524288     1.05800         1.30900         0.87700         1.05900         1.03500         1.13900         1.24800         3.48000         4.30400         2.88500         3.48300         3.40200         3.74400         4.10400        
1048576    0.78100         1.29300         0.78900         0.78200         0.99800         1.12100         1.24100         2.56800         4.25100         2.59300         2.57200         3.28300         3.68600         4.08200        
2097152    0.77900         1.24300         0.77500         0.77800         0.93200         1.03700         1.18000         2.56200         4.08800         2.54900         2.55700         3.06400         3.41000         3.88000        
4194304    0.75300         0.78900         0.75000         0.76200         0.76300         0.77000         0.78000         2.47600         2.59300         2.46600         2.50700         2.51000         2.53300         2.56500        
8388608    0.71200         0.71200         0.68300         0.67900         0.71200         0.71200         0.71200         2.34100         2.34100         2.24600         2.23200         2.34100         2.34100         2.34100        
