size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       9.07500         13.21500        10.85900        14.08300        10.15100        11.36900        12.41000        29.43900        42.87000        35.22700        45.68700        32.92900        36.88000        40.25700       
2048       1.91400         8.44000         1.96400         1.98700         5.66100         6.91500         7.90900         6.20800         27.37800        6.37000         6.44400         18.36300        22.43300        25.65600       
4096       1.86400         7.86600         1.85700         1.88400         5.25900         6.32000         6.87500         6.04700         25.51600        6.02400         6.11100         17.06100        20.50100        22.30300       
8192       1.76300         5.48800         1.76100         1.79700         3.84700         4.24000         4.44000         5.71800         17.80400        5.71200         5.82800         12.48000        13.75500        14.40400       
16384      1.54000         2.75400         1.64600         1.60100         2.06000         2.31100         2.57500         4.99600         8.93400         5.34000         5.19300         6.68100         7.49800         8.35200        
32768      1.49200         2.69400         1.51700         1.50200         1.98300         2.23300         2.50200         4.83900         8.74000         4.92000         4.87100         6.43200         7.24300         8.11600        
65536      1.40200         2.16900         1.37100         1.43400         1.56300         1.71900         1.95500         4.54900         7.03800         4.44600         4.65100         5.07100         5.57700         6.34200        
131072     1.26600         1.38300         1.17900         1.27900         1.14000         1.20300         1.31100         4.10600         4.48700         3.82300         4.15000         3.69700         3.90200         4.25400        
262144     0.77000         1.21600         0.95200         0.77300         0.97400         1.07800         1.17400         2.49700         3.94400         3.08900         2.50600         3.16000         3.49700         3.80800        
524288     0.73500         1.16300         0.73600         0.73600         0.92400         1.02800         1.12300         2.38400         3.77400         2.38600         2.38800         2.99800         3.33600         3.64300        
1048576    0.69800         0.90800         0.67500         0.69200         0.79900         0.85400         0.89700         2.26500         2.94400         2.19100         2.24300         2.59100         2.77000         2.91000        
2097152    0.56800         0.56900         0.55400         0.55800         0.56900         0.56900         0.56900         1.84400         1.84400         1.79600         1.81100         1.84400         1.84400         1.84400        
4194304    0.31300         0.31300         0.37200         0.32600         0.31300         0.31300         0.31300         1.01400         1.01400         1.20800         1.05900         1.01400         1.01400         1.01400        
8388608    0.12600         0.12600         0.17200         0.12700         0.12600         0.12600         0.12600         0.40800         0.40800         0.55700         0.41300         0.40800         0.40800         0.40800        
