size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
256        11.44600        14.13800        14.79200        12.44300        7.00300         7.58500         8.28700         10.90400        13.46900        14.09100        11.85400        6.67200         7.22500         7.89400        
256        11.44600        14.13800        14.79200        12.44300        7.00300         7.58500         8.28700         10.90400        13.46900        14.09100        11.85400        6.67200         7.22500         7.89400        
512        3.15900         3.43800         4.09900         3.90700         2.31100         2.41800         2.55100         3.01000         3.27600         3.90500         3.72200         2.20200         2.30300         2.43000        
512        3.15900         3.43800         4.09900         3.90700         2.31100         2.41800         2.55100         3.01000         3.27600         3.90500         3.72200         2.20200         2.30300         2.43000        
1024       1.59100         1.63300         2.00900         2.01200         1.60900         1.61800         1.63200         1.51600         1.55600         1.91400         1.91700         1.53200         1.54100         1.55500        
1024       1.59100         1.63300         2.00900         2.01200         1.60900         1.61800         1.63200         1.51600         1.55600         1.91400         1.91700         1.53200         1.54100         1.55500        
2048       1.46100         1.46300         1.09600         1.71600         1.49900         1.49900         1.50000         1.39200         1.39400         1.04400         1.63500         1.42800         1.42800         1.42900        
2048       1.46100         1.46300         1.09600         1.71600         1.49900         1.49900         1.50000         1.39200         1.39400         1.04400         1.63500         1.42800         1.42800         1.42900        
4096       0.11000         0.11000         0.23900         0.18200         0.05500         0.05500         0.05500         0.10400         0.10400         0.22800         0.17300         0.05300         0.05300         0.05300        
4096       0.11000         0.11000         0.23900         0.18200         0.05500         0.05500         0.05500         0.10400         0.10400         0.22800         0.17300         0.05300         0.05300         0.05300        
8192       0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
8192       0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
16384      0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
16384      0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
32768      0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
32768      0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
65536      0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
65536      0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100        
