size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       22.19300        25.43600        25.00200        24.74500        24.51100        24.76700        24.98800        84.12600        96.41900        94.77500        93.80000        92.91400        93.88500        94.72000       
2048       16.73000        18.37100        18.67600        18.41800        17.76500        17.85500        17.98400        63.41900        69.63900        70.79300        69.81500        67.34000        67.68300        68.17300       
4096       12.03600        13.33000        13.69800        13.14500        12.92400        13.02300        13.11200        45.62400        50.52800        51.92300        49.82800        48.99200        49.36700        49.70100       
8192       7.79200         8.79000         9.84900         9.48500         8.53700         8.62300         8.71400         29.53600        33.31900        37.33600        35.95400        32.35900        32.68500        33.03100       
16384      6.28800         6.84200         7.58300         7.48700         6.59600         6.61600         6.63700         23.83600        25.93600        28.74600        28.38100        25.00400        25.07900        25.15900       
32768      5.41500         5.66200         6.30300         6.19700         5.62700         5.64200         5.65500         20.52500        21.46400        23.89100        23.48900        21.33000        21.38800        21.43500       
65536      5.05200         5.18500         5.56500         5.49300         5.17300         5.17900         5.18300         19.15100        19.65500        21.09600        20.82400        19.60800        19.63100        19.64700       
131072     4.80000         4.86800         5.10300         5.06400         4.86200         4.86500         4.86700         18.19700        18.45400        19.34500        19.19600        18.42900        18.44100        18.45000       
262144     4.54000         4.57200         4.75700         4.73800         4.56800         4.57000         4.57100         17.20800        17.33000        18.03300        17.96000        17.31500        17.32200        17.32700       
524288     4.27100         4.28400         4.44700         4.43500         4.28200         4.28300         4.28400         16.19000        16.24000        16.85700        16.81200        16.23100        16.23500        16.23800       
1048576    3.98300         3.98400         4.13500         4.12900         3.98300         3.98400         3.98400         15.09900        15.10300        15.67500        15.65100        15.09800        15.10100        15.10200       
2097152    3.63600         3.62400         3.78200         3.77700         3.62400         3.62400         3.62400         13.78500        13.73800        14.33600        14.31900        13.73800        13.73800        13.73800       
4194304    3.19600         3.17200         3.35400         3.35100         3.17400         3.17300         3.17300         12.11600        12.02600        12.71400        12.70200        12.03100        12.02900        12.02700       
8388608    2.63200         2.61800         2.82800         2.82300         2.61700         2.61700         2.61700         9.97500         9.92300         10.71800        10.70300        9.91900         9.92100         9.92200        
