size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       11.95400        13.03000        11.78000        13.06600        11.47700        11.81900        12.29900        54.06000        58.92700        53.27600        59.09000        51.90700        53.45100        55.62400       
2048       5.64700         7.69900         6.55800         6.75000         6.06100         6.31900         6.69400         25.53900        34.82000        29.65800        30.52900        27.41000        28.57800        30.27500       
4096       3.61600         4.80800         4.08400         4.16800         3.96700         4.09200         4.25500         16.35200        21.74400        18.47100        18.85200        17.94300        18.50700        19.24100       
8192       2.63700         3.50900         2.89800         2.95600         2.83900         2.88400         2.93300         11.92400        15.87100        13.10700        13.37000        12.83800        13.04200        13.26400       
16384      2.24700         2.80800         2.34300         2.42200         2.36700         2.38900         2.41000         10.16100        12.69700        10.59700        10.95300        10.70600        10.80200        10.90000       
32768      1.71800         2.08800         1.70600         1.79600         1.76800         1.77300         1.77700         7.77000         9.44100         7.71700         8.12400         7.99800         8.01900         8.03800        
65536      1.55200         1.60600         1.34400         1.57500         1.59800         1.60200         1.60400         7.02000         7.26500         6.07700         7.12400         7.22900         7.24400         7.25600        
131072     0.89900         0.93900         0.91200         0.93100         0.93400         0.93600         0.93800         4.06700         4.24500         4.12400         4.21000         4.22200         4.23200         4.24000        
262144     0.75300         0.78200         0.76700         0.77400         0.77800         0.78000         0.78100         3.40700         3.53500         3.47000         3.49900         3.51800         3.52600         3.53200        
524288     0.62300         0.63600         0.65600         0.64000         0.63400         0.63500         0.63500         2.81800         2.87400         2.96700         2.89400         2.86600         2.87000         2.87300        
1048576    0.53500         0.54000         0.56900         0.54900         0.53900         0.54000         0.54000         2.41900         2.44400         2.57400         2.48100         2.43900         2.44100         2.44300        
2097152    0.46800         0.46800         0.50000         0.48400         0.46800         0.46800         0.46800         2.11500         2.11700         2.25900         2.18800         2.11700         2.11700         2.11700        
4194304    0.40800         0.40800         0.43000         0.42100         0.40800         0.40800         0.40800         1.84400         1.84500         1.94400         1.90500         1.84500         1.84500         1.84500        
8388608    0.32200         0.32200         0.33800         0.33300         0.32200         0.32200         0.32200         1.45800         1.45800         1.52700         1.50400         1.45800         1.45800         1.45800        
