size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       10.76000        12.49300        12.46900        12.07300        11.56300        11.83800        12.18700        46.94300        54.50500        54.40400        52.67300        50.44900        51.65100        53.17000       
2048       6.18700         6.25600         7.10400         7.40400         6.06400         6.12400         6.18700         26.99500        27.29700        30.99200        32.30300        26.45700        26.71900        26.99600       
4096       2.14200         3.25000         2.85100         2.56900         2.71000         2.86600         3.05400         9.34800         14.18100        12.44100        11.21000        11.82200        12.50400        13.32400       
8192       0.79600         1.59900         0.94000         0.98300         1.02600         1.10200         1.22600         3.47100         6.97800         4.10000         4.28900         4.47800         4.80800         5.35000        
16384      0.24600         0.47800         0.31900         0.30600         0.32500         0.35600         0.39900         1.07200         2.08800         1.39200         1.33500         1.42000         1.55200         1.74100        
32768      0.18300         0.36800         0.21200         0.20300         0.25600         0.28400         0.32500         0.79900         1.60700         0.92600         0.88600         1.11800         1.24100         1.41600        
65536      0.16300         0.31400         0.17800         0.17300         0.21700         0.24000         0.27400         0.71300         1.37100         0.77600         0.75400         0.94700         1.04600         1.19700        
131072     0.14900         0.29700         0.15700         0.15500         0.20100         0.22300         0.25700         0.65200         1.29400         0.68700         0.67600         0.87700         0.97300         1.12300        
262144     0.13600         0.13700         0.14100         0.13900         0.13700         0.13700         0.13700         0.59200         0.59900         0.61400         0.60600         0.59700         0.59900         0.60000        
524288     0.12100         0.12100         0.12500         0.12300         0.12100         0.12100         0.12100         0.52700         0.53000         0.54700         0.53600         0.53000         0.53000         0.53000        
1048576    0.10500         0.10600         0.11100         0.10700         0.10600         0.10600         0.10600         0.45900         0.46200         0.48400         0.46700         0.46100         0.46100         0.46100        
2097152    0.09500         0.09500         0.09900         0.09600         0.09500         0.09500         0.09500         0.41300         0.41400         0.43000         0.41700         0.41400         0.41400         0.41400        
4194304    0.08500         0.08500         0.08800         0.08600         0.08500         0.08500         0.08500         0.37100         0.37200         0.38200         0.37400         0.37200         0.37200         0.37200        
8388608    0.07500         0.07500         0.07700         0.07500         0.07500         0.07500         0.07500         0.32700         0.32800         0.33700         0.32900         0.32800         0.32800         0.32800        
