size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       12.29700        13.75800        13.82700        13.82600        13.17800        13.36200        13.56400        51.95600        58.13000        58.42100        58.41900        55.67800        56.45600        57.30900       
2048       7.15500         7.03700         8.06400         8.20600         6.76400         6.84500         6.94000         30.23300        29.73300        34.07000        34.67300        28.58100        28.92300        29.32200       
4096       2.64600         3.76200         3.47800         3.49900         3.21500         3.38800         3.58200         11.18100        15.89500        14.69700        14.78400        13.58500        14.31400        15.13500       
8192       0.89900         1.86800         1.07300         1.11400         1.22200         1.33500         1.50700         3.80000         7.89400         4.53300         4.70700         5.16400         5.64000         6.36500        
16384      0.27800         0.56000         0.35800         0.34400         0.37200         0.40900         0.46100         1.17400         2.36700         1.51300         1.45400         1.57400         1.72700         1.94800        
32768      0.20800         0.42700         0.23800         0.22900         0.29500         0.32800         0.37500         0.88000         1.80500         1.00600         0.96700         1.24500         1.38600         1.58600        
65536      0.18600         0.36300         0.20100         0.19600         0.24900         0.27600         0.31600         0.78800         1.53400         0.85000         0.83000         1.05200         1.16400         1.33500        
131072     0.17000         0.34300         0.17900         0.17600         0.23000         0.25600         0.29600         0.71700         1.44700         0.75400         0.74300         0.97200         1.08100         1.25100        
262144     0.15400         0.15500         0.16000         0.15800         0.15500         0.15500         0.15500         0.65100         0.65400         0.67600         0.66600         0.65300         0.65300         0.65400        
524288     0.13800         0.13900         0.14300         0.14100         0.13900         0.13900         0.13900         0.58400         0.58700         0.60300         0.59500         0.58700         0.58700         0.58700        
1048576    0.12000         0.12100         0.12700         0.12300         0.12100         0.12100         0.12100         0.50900         0.51200         0.53500         0.51800         0.51200         0.51200         0.51200        
2097152    0.10800         0.10800         0.11200         0.10900         0.10800         0.10800         0.10800         0.45600         0.45700         0.47400         0.46200         0.45700         0.45700         0.45700        
4194304    0.09700         0.09700         0.10000         0.09700         0.09700         0.09700         0.09700         0.40900         0.40900         0.42100         0.41200         0.40900         0.40900         0.40900        
8388608    0.08500         0.08500         0.08700         0.08500         0.08500         0.08500         0.08500         0.35900         0.35900         0.36800         0.36000         0.35900         0.35900         0.35900        
