size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       8.18200         64.27100        7.10200         8.18600         35.35400        36.02100        34.91000        32.48400        255.16800       28.19700        32.49900        140.36000       143.00800       138.60000      
2048       3.83800         46.29000        5.65400         5.41600         3.95800         3.97400         4.00200         15.23800        183.78000       22.44700        21.50300        15.71300        15.77800        15.88700       
4096       3.67500         44.25500        4.64900         4.42400         3.78700         3.80800         3.84200         14.59100        175.69900       18.45900        17.56500        15.03600        15.11900        15.25500       
8192       3.60900         3.70400         4.08800         3.99600         3.68700         3.69500         3.70100         14.32800        14.70600        16.22800        15.86500        14.63900        14.66900        14.69200       
16384      3.56300         3.61600         3.80100         3.77100         3.60700         3.61100         3.61400         14.14600        14.35600        15.09000        14.97200        14.32100        14.33700        14.35000       
32768      3.53300         3.55500         3.66400         3.64800         3.55200         3.55300         3.55400         14.02700        14.11500        14.54700        14.48300        14.10000        14.10700        14.11200       
65536      3.52300         3.52900         3.59300         3.58500         3.52800         3.52800         3.52900         13.98900        14.01100        14.26300        14.23300        14.00700        14.00800        14.01000       
131072     3.51900         3.52000         3.55500         3.55000         3.52000         3.52000         3.52000         13.97000        13.97600        14.11200        14.09600        13.97600        13.97600        13.97600       
262144     3.51300         3.51300         3.53100         3.52800         3.51300         3.51300         3.51300         13.94500        13.94800        14.01900        14.00800        13.94800        13.94800        13.94800       
524288     3.50000         3.50100         3.51000         3.50800         3.50100         3.50100         3.50100         13.89700        13.89900        13.93400        13.92600        13.89800        13.89900        13.89900       
1048576    3.47600         3.47600         3.47900         3.47800         3.47600         3.47600         3.47600         13.80100        13.80100        13.81300        13.81000        13.80100        13.80100        13.80100       
2097152    3.42500         3.42500         3.38500         3.41900         3.42500         3.42500         3.42500         13.59700        13.59800        13.44100        13.57400        13.59800        13.59800        13.59800       
4194304    3.30600         3.30600         2.83100         3.23800         3.30600         3.30600         3.30600         13.12500        13.12600        11.24100        12.85500        13.12600        13.12600        13.12600       
8388608    1.58000         1.57900         0.41600         0.45900         1.57900         1.57900         1.57900         6.27200         6.26900         1.65200         1.82200         6.26900         6.26900         6.26900        
