size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       19.37800        29.49100        23.16000        23.81500        19.68200        20.25200        21.61500        70.08700        106.66100       83.76300        86.13300        71.18600        73.24700        78.17600       
2048       11.70300        19.27400        14.30700        14.32300        12.97600        13.55900        14.88000        42.32500        69.70800        51.74400        51.80400        46.93100        49.03800        53.81800       
4096       8.34500         12.31700        9.42800         9.62700         9.29200         9.76100         10.65800        30.18200        44.54600        34.09900        34.81900        33.60800        35.30400        38.54700       
8192       6.19900         8.62700         5.93400         6.78700         7.04500         7.71200         8.29100         22.41900        31.20100        21.46000        24.54800        25.48100        27.89100        29.98700       
16384      1.93900         5.28800         2.85300         2.02200         4.38200         4.79300         5.11200         7.01100         19.12600        10.31800        7.31500         15.84900        17.33400        18.48800       
32768      1.13800         2.40000         1.32500         1.34400         2.07400         2.22700         2.34000         4.11600         8.68000         4.79200         4.85900         7.50000         8.05300         8.46200        
65536      0.04100         0.21500         0.03300         0.05000         0.04700         0.05000         0.05500         0.15000         0.77700         0.12100         0.18100         0.17100         0.18100         0.19700        
131072     0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00100         0.00200         0.00200         0.00300         0.00200         0.00200         0.00200         0.00200        
262144     0.00000         0.00000         0.00100         0.00100         0.00000         0.00000         0.00000         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200        
524288     0.00000         0.00000         0.00100         0.00100         0.00000         0.00000         0.00000         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200        
1048576    0.00000         0.00000         0.00100         0.00000         0.00000         0.00000         0.00000         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200        
2097152    0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200        
4194304    0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200        
8388608    0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00000         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200         0.00200        
