size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       7.87600         9.34300         7.79700         8.75200         6.30800         6.74800         7.54400         20.33000        24.11600        20.12600        22.59200        16.28200        17.41800        19.47200       
2048       2.77000         7.66200         3.23700         3.16200         3.70200         4.52900         5.44300         7.15100         19.77700        8.35400         8.16200         9.55500         11.69100        14.05000       
4096       2.06600         3.47400         2.35600         2.36700         2.18800         2.25400         2.37300         5.33300         8.96600         6.08200         6.10900         5.64800         5.81900         6.12500        
8192       1.84500         2.46700         2.02000         2.01200         1.89700         1.92400         1.98100         4.76100         6.36800         5.21300         5.19400         4.89700         4.96600         5.11200        
16384      1.74200         2.20700         1.83000         1.84000         1.76800         1.78100         1.81500         4.49700         5.69600         4.72300         4.74800         4.56300         4.59700         4.68500        
32768      1.60900         2.05900         1.66000         1.67400         1.62600         1.63700         1.66900         4.15300         5.31500         4.28600         4.32200         4.19800         4.22700         4.30800        
65536      1.39000         1.87400         1.42400         1.42700         1.40900         1.42400         1.46600         3.58900         4.83800         3.67500         3.68300         3.63800         3.67600         3.78500        
131072     1.09200         1.59300         1.14200         0.93000         1.11800         1.13600         1.18300         2.82000         4.11200         2.94800         2.40100         2.88700         2.93200         3.05400        
262144     0.76100         1.26400         0.91100         0.75600         0.78800         0.80500         0.85300         1.96500         3.26200         2.35200         1.95300         2.03300         2.07900         2.20200        
524288     0.73100         1.23200         0.70300         0.73400         0.75300         0.77200         0.82000         1.88800         3.18000         1.81500         1.89500         1.94400         1.99200         2.11700        
1048576    0.44300         0.94200         0.32900         0.45400         0.46300         0.48100         0.52800         1.14300         2.43200         0.84900         1.17200         1.19400         1.24100         1.36200        
2097152    0.03600         0.54200         0.07000         0.06800         0.04400         0.05100         0.06900         0.09400         1.39800         0.18100         0.17600         0.11400         0.13200         0.17700        
4194304    0.01400         0.35000         0.01700         0.01900         0.01500         0.01600         0.01900         0.03600         0.90400         0.04300         0.04800         0.03900         0.04100         0.04800        
8388608    0.00100         0.00100         0.00200         0.00100         0.00100         0.00100         0.00100         0.00300         0.00300         0.00400         0.00300         0.00300         0.00300         0.00300        
