size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       8.22500         9.40000         8.48400         9.32600         7.11800         7.63500         8.37700         21.32800        24.37600        22.00000        24.18500        18.45900        19.80000        21.72500       
2048       3.14100         7.67600         3.74500         3.62100         4.00800         4.84300         5.70000         8.14600         19.90500        9.71100         9.39000         10.39400        12.55800        14.78100       
4096       2.48700         7.02800         2.82100         2.81300         2.61200         2.66800         2.78500         6.44900         18.22500        7.31600         7.29400         6.77300         6.91800         7.22100        
8192       2.24500         2.79600         2.43500         2.41700         2.31400         2.34300         2.40600         5.82100         7.25200         6.31300         6.26800         6.00100         6.07600         6.23900        
16384      2.05100         2.54700         2.14500         2.15200         2.08900         2.10900         2.15800         5.31900         6.60600         5.56200         5.58000         5.41800         5.46800         5.59700        
32768      1.76800         2.23700         1.85300         1.86900         1.78900         1.80500         1.85000         4.58500         5.80000         4.80400         4.84600         4.64000         4.68000         4.79700        
65536      1.43400         1.95400         1.50600         1.49300         1.46300         1.48100         1.54000         3.71800         5.06700         3.90500         3.87100         3.79300         3.84200         3.99200        
131072     1.04800         1.57000         1.18900         0.97400         1.07400         1.09300         1.15300         2.71600         4.07200         3.08300         2.52700         2.78500         2.83500         2.99000        
262144     0.79700         1.31900         0.94700         0.79100         0.81900         0.83900         0.89900         2.06700         3.42100         2.45700         2.05200         2.12500         2.17600         2.33200        
524288     0.77000         1.29000         0.72600         0.77300         0.78400         0.80500         0.87000         1.99600         3.34600         1.88200         2.00400         2.03300         2.08800         2.25500        
1048576    0.48300         1.02300         0.34300         0.49800         0.50900         0.53200         0.59700         1.25200         2.65300         0.89100         1.29100         1.32100         1.38100         1.54900        
2097152    0.03900         0.57800         0.06900         0.06900         0.05300         0.06700         0.10500         0.10000         1.49900         0.18000         0.17800         0.13800         0.17400         0.27300        
4194304    0.01300         0.37200         0.02400         0.02200         0.01500         0.01800         0.02300         0.03400         0.96500         0.06300         0.05700         0.04000         0.04600         0.05900        
8388608    0.01100         0.01100         0.01500         0.01400         0.01100         0.01100         0.01100         0.02900         0.02900         0.04000         0.03700         0.02900         0.02900         0.02900        
