size       miss_ratio_lru  miss_ratio_lip  miss_ratio_rnd  miss_ratio_fif  miss_ratio_b16  miss_ratio32    miss_ratio64    cpi_lru         cpi_lip         cpi_rnd         cpi_fifo        cpi_b16         cpi_b32         cp_bi64        
1024       8.05900         8.65800         8.24600         9.29900         6.86000         7.30000         7.98500         21.11500        22.68600        21.60600        24.36400        17.97400        19.12800        20.92200       
2048       3.65800         7.30700         3.92800         3.88200         4.68400         5.34400         5.85800         9.58600         19.14700        10.29300        10.17200        12.27400        14.00100        15.35000       
4096       2.42600         6.21400         2.78900         2.75100         2.80800         3.01300         3.34500         6.35700         16.28200        7.30800         7.20900         7.35800         7.89600         8.76500        
8192       2.18200         5.72600         2.36000         2.35800         2.30500         2.37400         2.54000         5.71800         15.00400        6.18400         6.17900         6.04100         6.21900         6.65500        
16384      1.95500         2.49300         2.07600         2.07900         2.01600         2.04800         2.12700         5.12200         6.53200         5.44000         5.44800         5.28200         5.36500         5.57400        
32768      1.78100         2.28900         1.85500         1.84400         1.82400         1.85100         1.92300         4.66600         5.99600         4.85900         4.83000         4.77900         4.85000         5.03800        
65536      1.51100         2.05900         1.55500         1.55300         1.55700         1.58700         1.67300         3.96000         5.39400         4.07300         4.06800         4.08100         4.15900         4.38300        
131072     1.10400         1.65500         1.26400         1.04300         1.14600         1.17800         1.26400         2.89200         4.33800         3.31100         2.73300         3.00200         3.08700         3.31200        
262144     0.88500         1.43700         1.03600         0.87700         0.91600         0.94900         1.03900         2.31900         3.76400         2.71500         2.29900         2.40100         2.48700         2.72200        
524288     0.84700         1.39800         0.79800         0.85000         0.85800         0.89400         0.99500         2.22000         3.66300         2.09000         2.22800         2.24700         2.34400         2.60800        
1048576    0.43000         1.03800         0.34400         0.42800         0.47900         0.52300         0.62700         1.12700         2.72000         0.90100         1.12100         1.25500         1.37100         1.64300        
2097152    0.04000         0.66500         0.07300         0.07100         0.06100         0.08100         0.13100         0.10500         1.74400         0.19100         0.18500         0.16000         0.21300         0.34400        
4194304    0.01400         0.43300         0.02500         0.02100         0.02100         0.02700         0.04400         0.03800         1.13500         0.06500         0.05600         0.05500         0.07100         0.11400        
8388608    0.01400         0.01400         0.01800         0.01500         0.01400         0.01400         0.01400         0.03700         0.03700         0.04700         0.03900         0.03700         0.03700         0.03700        
