size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.69300      42.20200      45.88000      45.95800      45.23100      0.00000       193.11200     170.87700     185.77100     186.08700     183.14200     0.00000      
2048       41.03700      38.94900      37.39500      42.05500      41.33200      42.36700      166.16100     157.70800     151.41300     170.28300     167.35600     171.54800    
4096       38.69700      32.72500      34.44300      34.25500      38.18900      39.14400      156.68600     132.50400     139.46200     138.70200     154.63100     158.49700    
8192       29.57600      31.92300      31.83600      34.16100      34.14200      37.75400      119.75400     129.25900     128.90400     138.31900     138.24300     152.86700    
16384      25.43500      25.62700      31.43100      31.73100      34.01200      34.00900      102.98600     103.76500     127.26600     128.48100     137.71500     137.70600    
32768      18.74300      21.25400      25.25300      31.38600      31.71500      33.84400      75.89100      86.05900      102.24900     127.08500     128.41700     137.03500    
65536      11.22900      15.68300      21.19400      25.23500      31.38500      31.71500      45.46800      63.50300      85.81500      102.17700     127.07900     128.41400    
131072     9.97600       9.34200       15.64900      21.19300      25.23400      31.38300      40.39400      37.82500      63.36600      85.81200      102.17400     127.07300    
262144     9.67400       9.04700       9.32600       15.64800      21.19000      25.23200      39.17100      36.63300      37.76100      63.35800      85.79900      102.16400    
524288     5.92900       5.11200       4.99700       5.13900       11.04000      16.44200      24.00800      20.70100      20.23200      20.80900      44.70000      66.57500     
1048576    4.27000       3.33900       2.97900       2.98700       3.04600       10.73300      17.28900      13.52100      12.06100      12.09500      12.33400      43.45900     
2097152    3.70900       2.95300       2.96300       2.97400       2.98200       3.04100       15.01900      11.95700      11.99600      12.04100      12.07600      12.31200     
4194304    3.40400       2.92300       2.92600       2.94200       2.95600       2.96400       13.78400      11.83400      11.84600      11.91400      11.96800      12.00200     
8388608    2.96800       2.70200       2.76400       2.79500       2.84200       2.86200       12.01600      10.94200      11.19100      11.31700      11.50800      11.58700     
