size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.69300      33.74900      21.86200      22.88600      21.09900      0.00000       193.11200     136.65100     88.52300      92.66700      85.43000      0.00000      
2048       41.03700      30.01400      17.91000      17.65800      0.31800       16.41100      166.16100     121.53000     72.51700      71.49700      1.34800       66.45000     
4096       38.69700      22.75000      11.65400      11.29600      11.28700      11.28700      156.68600     92.11500      47.19000      45.73900      45.70000      45.70200     
8192       29.57600      22.13200      11.27500      11.27400      11.27400      11.27400      119.75400     89.61500      45.65500      45.64900      45.64900      45.64900     
16384      25.43500      21.82700      11.04300      11.03600      11.03500      11.03500      102.98600     88.37800      44.71400      44.68400      44.68100      44.68000     
32768      18.74300      11.03500      11.03100      11.02800      11.02700      75.89100      44.68200      44.66500      44.65100      44.65000      0.00000       0.00000      
65536      11.22900      11.02600      11.02300      11.02300      11.02300      11.02200      45.46800      44.64400      44.63300      44.63200      44.63100      44.63000     
131072     9.97600       9.01700       9.07100       9.11500       9.12200       9.11400       40.39400      36.50900      36.73000      36.90600      36.93700      36.90200     
262144     9.67400       8.96100       8.95400       8.95900       8.95900       8.96000       39.17100      36.28200      36.25500      36.27500      36.27400      36.27900     
524288     5.92900       5.41500       6.27600       7.93400       8.79600       0.22400       24.00800      21.92500      25.41200      32.12700      35.61500      0.95000      
1048576    4.27000       3.44200       2.95400       2.95400       2.95400       17.28900      13.93800      11.96100      11.96100      11.96200      0.00000       0.00000      
2097152    3.70900       2.94700       2.94800       2.95000       2.95100       2.95100       15.01900      11.93300      11.93900      11.94500      11.94800      11.94700     
4194304    3.40400       2.92100       2.92200       2.93000       2.93300       13.78400      11.82700      11.82900      11.86300      11.87500      0.00000       0.00000      
8388608    2.96800       2.80800       2.80500       2.79600       2.79200       2.76400       12.01600      11.36800      11.35800      11.32000      11.30400      11.19200     
