size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.13300      44.31700      48.28000      48.47400      55.19800      0.00000       190.84600     179.44100     195.49000     196.27600     223.49800     0.00000      
2048       40.31900      41.22500      40.19700      45.12200      46.78400      53.26100      163.25300     166.92100     162.75900     182.70300     189.43000     215.65700    
4096       38.65100      35.11600      37.24600      37.24500      44.54700      46.16100      156.50100     142.18800     150.81000     150.80800     180.37500     186.90900    
8192       29.57400      34.46900      34.64300      36.98600      37.21100      44.51600      119.74800     139.56700     140.27100     149.75900     150.67100     180.24800    
16384      25.43600      27.11600      34.19200      34.52300      36.92400      37.14900      102.99300     109.79300     138.44700     139.78500     149.50900     150.42100    
32768      18.74500      23.19700      27.00000      34.18700      34.51900      36.81900      75.89900      93.92700      109.32300     138.42400     139.76900     149.08100    
65536      11.23100      16.55000      23.18500      26.99300      34.17900      34.51200      45.47600      67.01300      93.87600      109.29500     138.39500     139.74000    
131072     9.97800       9.39200       16.54700      23.18500      26.97900      34.16500      40.40300      38.03000      66.99900      93.87600      109.23900     138.33500    
262144     9.67600       9.05600       9.37900       16.54700      23.18500      26.95100      39.17700      36.66800      37.97700      66.99900      93.87600      109.12800    
524288     5.93100       5.10900       4.98100       5.15600       11.80100      18.38400      24.01400      20.68700      20.16800      20.87500      47.78400      74.43600     
1048576    4.27100       3.34000       2.97900       2.98800       3.06100       11.74300      17.29300      13.52300      12.06300      12.09800      12.39200      47.54900     
2097152    3.71000       2.95300       2.96300       2.97400       2.98300       3.05500       15.02200      11.95800      11.99700      12.04300      12.07900      12.36900     
4194304    3.40500       2.92300       2.92600       2.94300       2.95600       2.96500       13.78500      11.83500      11.84700      11.91500      11.96900      12.00500     
8388608    2.96800       2.70200       2.76400       2.79500       2.84200       2.86200       12.01600      10.94200      11.19100      11.31700      11.50900      11.58800     
