size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.69300      33.37400      21.26700      21.46200      20.11600      0.00000       193.11200     135.13400     86.11000      86.90000      81.44900      0.00000      
2048       41.03700      29.54600      17.76000      17.43400      16.52000      15.78600      166.16100     119.63600     71.91000      70.59200      66.89200      63.91900     
4096       38.69700      22.68700      11.59000      11.28000      12.41300      11.27000      156.68600     91.86000      46.92700      45.67500      50.26000      45.63300     
8192       29.57600      22.11800      11.26700      11.26500      11.26500      11.26500      119.75400     89.55700      45.62200      45.61400      45.61300      45.61300     
16384      25.43500      21.82100      11.03700      11.02200      11.02100      11.01800      102.98600     88.35400      44.68900      44.62900      44.62600      44.61200     
32768      18.74300      11.03100      11.02600      11.01800      11.01800      11.01800      75.89100      44.66400      44.64400      44.61200      44.61200      44.61200     
65536      11.22900      11.02200      11.01800      11.01800      11.01800      11.01800      45.46800      44.63000      44.61200      44.61200      44.61200      44.61200     
131072     9.97600       8.98300       9.02500       8.99000       9.00000       8.98000       40.39400      36.37100      36.54500      36.40000      36.44300      36.36200     
262144     9.67400       8.96000       8.95000       8.95800       8.95900       8.95900       39.17100      36.27900      36.24100      36.27100      36.27400      36.27600     
524288     5.92900       5.82400       7.13100       8.48100       8.91400       8.91500       24.00800      23.58400      28.87400      34.33900      36.09500      36.09800     
1048576    4.27000       3.49100       2.95400       2.95400       2.95400       2.95400       17.28900      14.13600      11.96000      11.96000      11.96000      11.96000     
2097152    3.70900       2.94600       2.94800       2.95000       2.95000       2.95000       15.01900      11.92900      11.93600      11.94300      11.94600      11.94600     
4194304    3.40400       2.91900       2.92000       2.92900       2.93300       2.93500       13.78400      11.82000      11.82200      11.86000      11.87700      11.88300     
8388608    2.96800       2.70200       2.76200       2.79200       2.83300       2.84600       12.01600      10.93900      11.18400      11.30400      11.47000      11.52400     
