size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.13300      30.99800      21.99500      22.21300      20.19400      0.00000       190.84600     125.51300     89.06000      89.94400      81.76500      0.00000      
2048       40.31900      27.44000      18.03900      17.62400      16.17400      15.38500      163.25300     111.10500     73.03900      71.36100      65.49000      62.29400     
4096       38.65100      20.92900      15.57900      14.59800      14.44400      11.28000      156.50100     84.74300      63.08000      59.10800      58.48300      45.67400     
8192       29.57400      20.33800      11.67200      12.25100      12.42300      11.19200      119.74800     82.35000      47.26100      49.60400      50.30100      45.31500     
16384      25.43600      19.68800      11.43800      11.19100      11.26000      11.06100      102.99300     79.71900      46.31300      45.31300      45.59300      44.78800     
32768      18.74500      11.43700      11.21800      11.02200      11.01900      10.87400      75.89900      46.30800      45.42100      44.63000      44.61600      44.03000     
65536      11.23100      10.95300      10.68200      10.62700      10.61100      10.59200      45.47600      44.35000      43.25200      43.03000      42.96600      42.88900     
131072     9.97800       9.21400       9.26000       9.28700       9.30100       9.32300       40.40300      37.31000      37.49400      37.60400      37.66000      37.75000     
262144     9.67600       8.57700       8.41400       8.34600       8.31400       8.31200       39.17700      34.72900      34.06800      33.79200      33.66300      33.65400     
524288     5.93100       5.26300       5.13000       5.04200       5.04800       5.06000       24.01400      21.30900      20.77200      20.41300      20.44000      20.48800     
1048576    4.27100       3.55000       3.20200       3.15200       3.15500       3.16600       17.29300      14.37300      12.96500      12.76100      12.77400      12.81800     
2097152    3.71000       3.10400       3.06200       3.02800       3.01500       3.01900       15.02200      12.56700      12.40000      12.26000      12.20800      12.22600     
4194304    3.40500       3.03000       2.95900       2.93500       2.92000       2.91700       13.78500      12.26900      11.98000      11.88500      11.82200      11.81100     
8388608    2.96800       2.78900       2.73000       2.69400       2.68200       2.67200       12.01600      11.29200      11.05400      10.90900      10.86000      10.81900     
