size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.59000      37.84600      38.18400      38.23300      40.77000      0.00000       192.92000     153.41800     154.79000     154.98700     165.27300     0.00000      
2048       43.94400      34.42300      31.78800      35.00100      35.18100      38.30600      178.14000     139.54500     128.86300     141.88500     142.61600     155.28300    
4096       38.52800      31.48900      30.31300      30.30400      33.90100      34.06400      156.18600     127.64900     122.88100     122.84800     137.42700     138.08800    
8192       36.95900      28.66300      29.90000      29.98700      30.12800      33.74200      149.82500     116.19300     121.20800     121.56100     122.13100     136.78300    
16384      36.52700      28.44100      27.55100      29.86800      29.96100      30.11900      148.07400     115.29300     111.68800     121.07700     121.45700     122.09600    
32768      25.54000      27.90300      27.30700      27.46100      27.06900      26.57800      103.53300     113.11400     110.69900     111.32200     109.73000     107.74300    
65536      7.76800       15.31700      21.85100      22.00300      21.91900      22.18000      31.49100      62.09200      88.57800      89.19600      88.85500      89.91100     
131072     5.31900       3.31500       11.43800      19.30500      20.84300      21.89800      21.56000      13.43900      46.36600      78.25600      84.49200      88.77100     
262144     4.06200       2.96100       2.97100       11.29100      19.26800      20.81000      16.46500      12.00500      12.04500      45.77200      78.10700      84.35900     
524288     3.48100       2.93900       2.94600       2.95500       11.14200      19.11700      14.11000      11.91300      11.94200      11.97900      45.16500      77.49800     
1048576    2.99800       2.85800       2.87700       2.89400       2.89200       10.56500      12.15300      11.58500      11.66100      11.73300      11.72300      42.82900     
2097152    2.09900       2.11200       2.11000       2.16900       2.23500       2.26000       8.50800       8.56100       8.55500       8.79400       9.06200       9.16000      
4194304    1.64500       1.71300       1.60900       1.61100       1.61100       1.61100       6.66900       6.94200       6.52300       6.52900       6.53000       6.53100      
8388608    0.35100       0.43100       0.46900       0.12700       0.15400       0.15600       1.42300       1.74700       1.90200       0.51500       0.62200       0.63100      
