size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.71800      33.57400      21.83500      22.86100      21.07400      0.00000       193.44000     136.10300     88.51500      92.67400      85.43100      0.00000      
2048       44.13700      29.85500      13.25500      12.73300      12.71800      13.46500      178.92400     121.02700     53.73200      51.61500      51.55600      54.58400     
4096       38.62000      23.21800      11.71200      11.35300      11.34400      11.34400      156.55700     94.12200      47.47900      46.02400      45.98600      45.98800     
8192       36.95900      21.82600      11.10200      11.09300      11.09300      11.09100      149.82200     88.47900      45.00500      44.97000      44.96700      44.96000     
16384      36.52700      21.73900      11.08100      11.07600      11.07500      11.07400      148.07200     88.12400      44.92100      44.89900      44.89600      44.89200     
32768      25.54000      21.72100      11.06900      11.06700      11.06700      11.06700      103.53200     88.05200      44.87300      44.86300      44.86300      44.86100     
65536      7.76800       7.62500       7.19600       7.06400       7.21100       11.06200      31.49100      30.91100      29.17300      28.63700      29.23100      44.84300     
131072     5.31900       3.31000       3.09000       2.96700       2.96500       2.96500       21.56000      13.41800      12.52500      12.02800      12.01900      12.01800     
262144     4.06200       2.96000       2.96000       2.96000       2.96000       2.96000       16.46500      11.99900      11.99900      12.00000      11.99800      11.99900     
524288     3.48100       2.93700       2.94100       2.94400       2.94600       2.94500       14.11000      11.90600      11.92400      11.93300      11.94100      11.93900     
1048576    2.99800       2.82300       2.85200       2.87500       2.87500       2.87300       12.15300      11.44300      11.56100      11.65400      11.65400      11.64800     
2097152    2.09900       2.16700       2.19800       2.19900       2.25900       2.20500       8.50800       8.78400       8.90900       8.91500       9.15600       8.94000      
4194304    1.64500       1.80000       1.61000       1.61000       1.61000       1.61000       6.66900       7.29800       6.52600       6.52500       6.52500       6.52500      
8388608    0.35100       0.50000       0.32400       0.08900       0.10500       0.10400       1.42300       2.02800       1.31300       0.36000       0.42400       0.42000      
