size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       47.59000      32.25900      20.79500      21.70200      20.32900      0.00000       192.92000     130.77100     84.30000      87.97500      82.40900      0.00000      
2048       43.94400      28.64600      15.60400      15.03900      15.83700      12.67800      178.14000     116.12500     63.25600      60.96500      64.20000      51.39600     
4096       38.52800      24.32100      13.90800      13.16700      12.14900      11.33400      156.18600     98.59000      56.38200      53.37700      49.24800      45.94700     
8192       36.95900      21.99800      12.15900      12.93000      11.70000      11.21700      149.82500     89.17600      49.29000      52.41400      47.42900      45.47300     
16384      36.52700      21.76800      11.10800      11.35900      11.42400      11.11400      148.07400     88.24400      45.03000      46.04500      46.30900      45.05500     
32768      25.54000      20.92800      10.18000      10.10300      10.08600      10.19000      103.53300     84.83700      41.26600      40.95700      40.88600      41.31000     
65536      7.76800       7.09900       5.99900       5.85500       5.96400       6.03700       31.49100      28.77600      24.31700      23.73400      24.17900      24.47300     
131072     5.31900       3.48900       3.47800       3.41800       3.43400       3.42400       21.56000      14.14200      14.10000      13.85600      13.91900      13.88100     
262144     4.06200       3.07400       3.05900       3.06900       3.08200       3.09100       16.46500      12.46200      12.40000      12.44100      12.49400      12.53000     
524288     3.48100       2.98300       2.95700       2.93700       2.94200       2.94000       14.11000      12.09100      11.98700      11.90700      11.92600      11.91900     
1048576    2.99800       2.76400       2.74600       2.74700       2.75500       2.76600       12.15300      11.20400      11.13100      11.13800      11.16800      11.21100     
2097152    2.09900       2.25200       2.26900       2.27500       2.29600       2.31200       8.50800       9.13100       9.20000       9.22300       9.30700       9.37300      
4194304    1.64500       1.59100       1.64500       1.63100       1.63800       1.65500       6.66900       6.45100       6.66900       6.61000       6.64100       6.70800      
8388608    0.35100       0.44800       0.36800       0.12200       0.14900       0.15700       1.42300       1.81500       1.49000       0.49400       0.60300       0.63800      
