size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.19800      17.84500      18.54100      22.16000      31.53000      0.00000       60.14800      53.13900      55.21400      65.98900      93.89200      0.00000      
2048       16.70200      13.55800      13.33500      15.00000      18.04600      27.24700      49.73600      40.37400      39.71100      44.66900      53.74000      81.13700     
4096       13.84000      11.53100      10.57200      10.59000      11.53400      14.06400      41.21500      34.33800      31.48100      31.53600      34.34600      41.88100     
8192       9.62100       8.70900       9.40300       9.31700       9.59200       10.29600      28.65100      25.93400      28.00000      27.74600      28.56500      30.65900     
16384      7.29500       5.49400       5.06800       4.93500       4.96900       5.06400       21.72400      16.36200      15.09100      14.69600      14.79700      15.07900     
32768      6.16000       5.10600       4.87700       4.89700       4.92600       4.95900       18.34300      15.20500      14.52400      14.58200      14.66800      14.76800     
65536      3.13100       2.75200       3.55600       4.24500       4.66900       4.88100       9.32300       8.19600       10.58800      12.64100      13.90300      14.53600     
131072     1.81500       0.78500       0.65900       0.60400       0.60600       0.61100       5.40600       2.33800       1.96300       1.79800       1.80400       1.81900      
262144     0.80800       0.42100       0.41900       0.42000       0.42000       0.41900       2.40500       1.25300       1.24900       1.25100       1.25000       1.24900      
524288     0.60600       0.41700       0.41600       0.41600       0.41600       0.41600       1.80600       1.24000       1.23900       1.23900       1.23900       1.24000      
1048576    0.51100       0.41600       0.41600       0.41600       0.41600       0.41600       1.52100       1.23900       1.23900       1.23900       1.23900       1.23900      
2097152    0.46500       0.41600       0.41600       0.41600       0.41600       0.41600       1.38500       1.23900       1.23900       1.23900       1.23900       1.23900      
4194304    0.44200       0.41600       0.41600       0.41600       0.41600       0.41600       1.31700       1.23900       1.23900       1.23900       1.23900       1.23900      
8388608    0.43100       0.41600       0.41600       0.41600       0.41600       0.41600       1.28400       1.23800       1.23800       1.23900       1.23900       1.23900      
