size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.19800      16.44800      15.77300      15.40400      15.15300      0.00000       60.14800      48.98000      46.97200      45.87300      45.12400      0.00000      
2048       16.70200      13.23300      12.72700      12.97300      13.05300      12.96500      49.73600      39.40600      37.90000      38.63400      38.87000      38.60700     
4096       13.84000      11.32500      10.37200      9.72400       8.91600       8.90500       41.21500      33.72500      30.88800      28.95600      26.55000      26.51900     
8192       9.62100       8.98800       9.25400       8.86400       8.86300       8.86200       28.65100      26.76400      27.55600      26.39500      26.39200      26.39000     
16384      7.29500       6.21700       6.38000       6.49700       6.77300       6.83800       21.72400      18.51400      18.99900      19.34800      20.17000      20.36200     
32768      6.16000       5.43800       5.38500       5.43800       5.59000       5.62400       18.34300      16.19400      16.03700      16.19500      16.64800      16.74800     
65536      3.13100       3.04800       3.77800       4.12400       4.35900       5.06800       9.32300       9.07800       11.25200      12.28100      12.98100      15.09300     
131072     1.81500       1.01700       1.02800       1.04000       1.06100       1.08400       5.40600       3.03000       3.06200       3.09700       3.16000       3.22900      
262144     0.80800       0.60000       0.63400       0.65500       0.66300       0.66600       2.40500       1.78800       1.88900       1.95000       1.97300       1.98500      
524288     0.60600       0.50800       0.50700       0.51500       0.52000       0.52200       1.80600       1.51200       1.51000       1.53400       1.54800       1.55500      
1048576    0.51100       0.46200       0.46200       0.46100       0.46300       0.46500       1.52100       1.37500       1.37500       1.37400       1.38000       1.38300      
2097152    0.46500       0.43900       0.43900       0.43900       0.43900       0.43900       1.38500       1.30600       1.30700       1.30700       1.30600       1.30800      
4194304    0.44200       0.42700       0.42700       0.42700       0.42700       0.42700       1.31700       1.27300       1.27200       1.27300       1.27300       1.27300      
8388608    0.43100       0.42200       0.42200       0.42200       0.42200       0.42200       1.28400       1.25600       1.25500       1.25500       1.25600       1.25600      
