size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.19800      17.91200      18.64000      22.23400      67.85800      0.00000       60.14800      53.33900      55.50800      66.21200      202.07400     0.00000      
2048       16.70200      13.59800      13.29700      14.92000      17.61000      63.20200      49.73600      40.49300      39.59600      44.43100      52.44000      188.20800    
4096       13.84000      11.56600      10.56800      10.73200      12.08800      14.95600      41.21500      34.44200      31.47000      31.95800      35.99600      44.53800     
8192       9.62100       8.73000       9.41400       9.31200       9.74500       10.93300      28.65100      25.99600      28.03400      27.72900      29.01900      32.55700     
16384      7.29500       5.50100       5.07200       4.94100       4.97800       5.25700       21.72400      16.38200      15.10500      14.71500      14.82400      15.65600     
32768      6.16000       5.10700       4.88000       4.90100       4.93200       4.96900       18.34300      15.20800      14.53300      14.59500      14.68800      14.79800     
65536      3.13100       2.75200       3.55600       4.24700       4.70500       4.92200       9.32300       8.19600       10.58900      12.64700      14.01100      14.65600     
131072     1.81500       0.78500       0.65900       0.60400       0.60600       0.61100       5.40600       2.33800       1.96300       1.79800       1.80400       1.82100      
262144     0.80800       0.42100       0.41900       0.42000       0.42000       0.41900       2.40500       1.25300       1.24900       1.25100       1.25000       1.24900      
524288     0.60600       0.41700       0.41600       0.41600       0.41600       0.41600       1.80600       1.24000       1.23900       1.23900       1.23900       1.24000      
1048576    0.51100       0.41600       0.41600       0.41600       0.41600       0.41600       1.52100       1.23900       1.23900       1.23900       1.23900       1.23900      
2097152    0.46500       0.41600       0.41600       0.41600       0.41600       0.41600       1.38500       1.23900       1.23900       1.23900       1.23900       1.23900      
4194304    0.44200       0.41600       0.41600       0.41600       0.41600       0.41600       1.31700       1.23900       1.23900       1.23900       1.23900       1.23900      
8388608    0.43100       0.41600       0.41600       0.41600       0.41600       0.41600       1.28400       1.23800       1.23800       1.23900       1.23900       1.23900      
