size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.19800      15.87000      14.88800      14.75000      14.59300      0.00000       60.14800      47.26000      44.33400      43.92500      43.45700      0.00000      
2048       16.70200      12.94700      12.40900      12.24600      12.34400      12.51800      49.73600      38.55600      36.95300      36.46800      36.75800      37.27800     
4096       13.84000      11.26500      10.12300      9.53600       8.86600       8.85600       41.21500      33.54700      30.14600      28.39600      26.40200      26.37100     
8192       9.62100       8.60700       9.16900       8.85400       8.85300       8.85300       28.65100      25.63100      27.30400      26.36600      26.36400      26.36300     
16384      7.29500       5.46500       5.02300       4.83400       4.83400       4.83400       21.72400      16.27400      14.95900      14.39500      14.39400      14.39400     
32768      6.16000       5.10400       4.82000       4.81900       4.81800       4.81800       18.34300      15.19800      14.35300      14.35100      14.34700      14.34700     
65536      3.13100       2.75100       3.55200       4.21700       4.63300       4.80600       9.32300       8.19300       10.57600      12.55600      13.79600      14.31200     
131072     1.81500       0.78500       0.66100       0.60300       0.60400       0.60600       5.40600       2.33800       1.96900       1.79600       1.79800       1.80400      
262144     0.80800       0.42100       0.41900       0.42000       0.42000       0.41900       2.40500       1.25300       1.24900       1.25100       1.24900       1.24700      
524288     0.60600       0.41700       0.41600       0.41600       0.41600       0.41600       1.80600       1.24000       1.23900       1.23900       1.23900       1.23900      
1048576    0.51100       0.41600       0.41600       0.41600       0.41600       0.41600       1.52100       1.23900       1.23900       1.23900       1.23900       1.23900      
2097152    0.46500       0.41600       0.41600       0.41600       0.41600       0.41600       1.38500       1.23900       1.23900       1.23900       1.23900       1.23900      
4194304    0.44200       0.41600       0.41600       0.41600       0.41600       0.41600       1.31700       1.23900       1.23900       1.23900       1.23900       1.23900      
8388608    0.43100       0.41600       0.41600       0.41600       0.41600       0.41600       1.28400       1.23800       1.23800       1.23900       1.23900       1.23900      
