size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       20.19800      16.37600      15.66300      15.54500      15.45900      0.00000       60.14800      48.76500      46.64300      46.29200      46.03500      0.00000      
2048       16.70200      13.27300      12.27300      12.25600      12.37800      12.67300      49.73600      39.52500      36.54700      36.49600      36.86000      37.73800     
4096       13.84000      11.33800      9.58700       8.94400       8.45900       8.53100       41.21500      33.76400      28.54900      26.63300      25.19100      25.40600     
8192       9.62100       8.30100       8.03700       7.79900       7.73100       7.87900       28.65100      24.72000      23.93300      23.22400      23.02100      23.46200     
16384      7.29500       6.22600       6.40500       6.43100       6.51700       6.47900       21.72400      18.54100      19.07400      19.15100      19.40700      19.29400     
32768      6.16000       5.19400       5.17100       5.21800       5.17700       5.19500       18.34300      15.46600      15.39800      15.53800      15.41800      15.46900     
65536      3.13100       2.79200       2.96600       2.96500       3.00300       2.96200       9.32300       8.31500       8.83200       8.82800       8.94300       8.82000      
131072     1.81500       1.16000       1.17400       1.17100       1.17700       1.20400       5.40600       3.45400       3.49600       3.48600       3.50500       3.58500      
262144     0.80800       0.66900       0.67600       0.68000       0.68100       0.68300       2.40500       1.99400       2.01200       2.02500       2.02900       2.03300      
524288     0.60600       0.54200       0.52100       0.52300       0.52500       0.52500       1.80600       1.61500       1.55200       1.55900       1.56300       1.56500      
1048576    0.51100       0.47900       0.46900       0.46500       0.46500       0.46600       1.52100       1.42600       1.39600       1.38400       1.38600       1.38600      
2097152    0.46500       0.44700       0.44200       0.44000       0.43900       0.43900       1.38500       1.33100       1.31700       1.31100       1.30900       1.30900      
4194304    0.44200       0.43200       0.42900       0.42800       0.42800       0.42700       1.31700       1.28600       1.27800       1.27500       1.27400       1.27300      
8388608    0.43100       0.42400       0.42200       0.42200       0.42200       0.42100       1.28400       1.26200       1.25700       1.25500       1.25500       1.25500      
