size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       22.71800      20.13300      20.79800      22.98300      25.22300      0.00000       52.48000      46.50800      48.04500      53.09300      58.26700      0.00000      
2048       10.40200      5.84900       3.19300       2.73800       2.47800       2.64600       24.03000      13.51100      7.37700       6.32400       5.72400       6.11200      
4096       6.10500       2.13400       0.98000       0.67900       0.62500       0.63100       14.10200      4.92900       2.26400       1.56800       1.44300       1.45900      
8192       3.25300       0.74700       0.59800       0.58700       0.59100       0.60000       7.51500       1.72600       1.38100       1.35600       1.36600       1.38600      
16384      2.10800       0.61300       0.58000       0.58200       0.58600       0.59100       4.86800       1.41500       1.34000       1.34400       1.35400       1.36500      
32768      1.45400       0.58400       0.57600       0.57700       0.57800       0.58100       3.35900       1.34900       1.33100       1.33300       1.33500       1.34200      
65536      1.26900       0.57800       0.57600       0.57600       0.57600       0.57800       2.93100       1.33600       1.33000       1.33100       1.33200       1.33400      
131072     1.00700       0.57600       0.57400       0.57500       0.57500       0.57500       2.32700       1.33000       1.32700       1.32700       1.32800       1.32900      
262144     0.61300       0.57200       0.57200       0.57300       0.57300       0.57300       1.41500       1.32200       1.32200       1.32300       1.32400       1.32400      
524288     0.16900       0.21000       0.33700       0.52800       0.56500       0.57000       0.39100       0.48400       0.77800       1.22000       1.30400       1.31600      
1048576    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04700      
2097152    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04600      
4194304    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
8388608    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
