size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       22.71800      22.62500      24.87900      25.01100      24.38400      0.00000       52.48000      52.26500      57.47100      57.77700      56.32800      0.00000      
2048       10.40200      6.52400       4.79800       4.21800       4.26500       4.60100       24.03000      15.07100      11.08400      9.74400       9.85100       10.63000     
4096       6.10500       2.51000       1.51500       1.06600       0.90200       0.91400       14.10200      5.79900       3.50100       2.46200       2.08300       2.11100      
8192       3.25300       0.86700       0.70600       0.69300       0.69700       0.70000       7.51500       2.00200       1.63000       1.60000       1.61000       1.61600      
16384      2.10800       0.65600       0.62900       0.63000       0.63200       0.63300       4.86800       1.51600       1.45300       1.45500       1.46000       1.46300      
32768      1.45400       0.60900       0.60100       0.60200       0.60200       0.60200       3.35900       1.40800       1.38900       1.39000       1.39000       1.39100      
65536      1.26900       0.59100       0.58800       0.58800       0.58800       0.58800       2.93100       1.36400       1.35900       1.35800       1.35800       1.35900      
131072     1.00700       0.58200       0.58100       0.58100       0.58100       0.58100       2.32700       1.34400       1.34100       1.34100       1.34100       1.34100      
262144     0.61300       0.57500       0.57500       0.57500       0.57500       0.57500       1.41500       1.32900       1.32900       1.32900       1.32900       1.32900      
524288     0.16900       0.17500       0.18100       0.24600       0.27500       0.28600       0.39100       0.40400       0.41900       0.56800       0.63600       0.66000      
1048576    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04600      
2097152    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04600      
4194304    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
8388608    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
