size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       22.71800      20.14300      20.88200      23.25700      25.83500      0.00000       52.48000      46.53200      48.23900      53.72400      59.68100      0.00000      
2048       10.40200      5.88700       3.27800       2.87300       3.20700       3.72100       24.03000      13.60000      7.57200       6.63700       7.40900       8.59600      
4096       6.10500       2.15000       1.03600       0.91900       1.32300       2.46900       14.10200      4.96700       2.39300       2.12300       3.05700       5.70400      
8192       3.25300       0.77300       0.60000       0.68300       0.83800       1.23200       7.51500       1.78500       1.38600       1.57900       1.93600       2.84600      
16384      2.10800       0.64600       0.58300       0.58400       0.68200       0.83700       4.86800       1.49300       1.34600       1.35000       1.57500       1.93400      
32768      1.45400       0.58400       0.57900       0.58000       0.58100       0.67700       3.35900       1.34900       1.33800       1.33900       1.34100       1.56400      
65536      1.26900       0.57800       0.57600       0.57900       0.57900       0.58000       2.93100       1.33600       1.33000       1.33700       1.33800       1.34000      
131072     1.00700       0.57600       0.57400       0.57500       0.57500       0.57500       2.32700       1.33000       1.32700       1.32700       1.32800       1.32900      
262144     0.61300       0.57200       0.57200       0.57300       0.57300       0.57300       1.41500       1.32200       1.32200       1.32300       1.32400       1.32400      
524288     0.16900       0.21000       0.33700       0.52800       0.56500       0.57000       0.39100       0.48400       0.77800       1.22000       1.30400       1.31600      
1048576    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04700      
2097152    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04600      
4194304    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
8388608    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
