size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       22.71800      20.55300      21.47300      21.99000      22.06800      0.00000       52.48000      47.47800      49.60400      50.79900      50.97800      0.00000      
2048       10.40200      5.95500       3.60200       2.99700       2.88400       2.99400       24.03000      13.75700      8.32000       6.92300       6.66300       6.91500      
4096       6.10500       2.28800       1.09700       0.77100       0.60200       0.59500       14.10200      5.28600       2.53400       1.78000       1.39100       1.37500      
8192       3.25300       0.73800       0.59700       0.58200       0.58200       0.58100       7.51500       1.70400       1.38000       1.34500       1.34300       1.34300      
16384      2.10800       0.60500       0.57900       0.58000       0.58000       0.58100       4.86800       1.39800       1.33700       1.33900       1.34100       1.34200      
32768      1.45400       0.58400       0.57600       0.57600       0.57600       0.57600       3.35900       1.34900       1.33000       1.33000       1.33000       1.33000      
65536      1.26900       0.57800       0.57500       0.57500       0.57500       0.57500       2.93100       1.33500       1.32900       1.32900       1.32900       1.32900      
131072     1.00700       0.57600       0.57400       0.57400       0.57400       0.57400       2.32700       1.33000       1.32600       1.32600       1.32600       1.32700      
262144     0.61300       0.57200       0.57200       0.57200       0.57300       0.57300       1.41500       1.32200       1.32100       1.32200       1.32300       1.32300      
524288     0.16900       0.21000       0.33700       0.52800       0.56400       0.56900       0.39100       0.48400       0.77800       1.21900       1.30400       1.31500      
1048576    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04600      
2097152    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04700       0.04600       0.04600       0.04600       0.04600       0.04600      
4194304    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
8388608    0.02000       0.02000       0.02000       0.02000       0.02000       0.02000       0.04600       0.04600       0.04600       0.04600       0.04600       0.04600      
