size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       22.71800      21.02200      20.16200      20.65300      24.35400      0.00000       52.48000      48.56200      46.57500      47.70900      56.25800      0.00000      
2048       10.40200      6.45900       4.54900       4.09500       4.06100       3.92800       24.03000      14.92000      10.50900      9.46000       9.38000       9.07400      
4096       6.10500       2.56500       1.33200       1.01200       0.92300       0.91100       14.10200      5.92600       3.07700       2.33900       2.13300       2.10400      
8192       3.25300       0.91100       0.72100       0.70100       0.69400       0.69900       7.51500       2.10400       1.66600       1.61800       1.60200       1.61600      
16384      2.10800       0.66800       0.63700       0.63000       0.62900       0.62900       4.86800       1.54300       1.47200       1.45600       1.45400       1.45200      
32768      1.45400       0.61500       0.60600       0.60200       0.60100       0.60200       3.35900       1.42100       1.40000       1.39100       1.38900       1.39100      
65536      1.26900       0.59400       0.59000       0.58800       0.58800       0.58800       2.93100       1.37100       1.36200       1.35800       1.35900       1.35800      
131072     1.00700       0.58200       0.57800       0.57700       0.57200       0.57500       2.32700       1.34500       1.33400       1.33200       1.32100       1.32900      
262144     0.61300       0.52200       0.51000       0.50400       0.50300       0.50000       1.41500       1.20700       1.17800       1.16500       1.16100       1.15500      
524288     0.16900       0.15300       0.16200       0.16400       0.16400       0.16900       0.39100       0.35200       0.37400       0.37900       0.38000       0.39000      
1048576    0.02000       0.02000       0.02800       0.02800       0.03300       0.03400       0.04700       0.04700       0.06500       0.06400       0.07500       0.07900      
2097152    0.02000       0.02000       0.02200       0.02200       0.02000       0.02500       0.04700       0.04600       0.05100       0.05200       0.04700       0.05800      
4194304    0.02000       0.02000       0.02000       0.02000       0.02400       0.02300       0.04600       0.04600       0.04600       0.04600       0.05600       0.05300      
8388608    0.02000       0.02000       0.02000       0.02000       0.02000       0.02400       0.04600       0.04600       0.04600       0.04600       0.04600       0.05500      
