size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.33600      16.74100      17.60000      19.71700      24.28000      0.00000       60.14900      47.19500      49.61500      55.58500      68.44800      0.00000      
2048       11.17400      8.37300       6.66700       6.17100       5.20600       5.37600       31.50100      23.60400      18.79600      17.39800      14.67500      15.15600     
4096       6.86400       2.91700       1.63700       0.83600       0.60400       0.59900       19.35100      8.22300       4.61400       2.35800       1.70300       1.69000      
8192       2.65200       1.10000       0.64800       0.51100       0.51500       0.52500       7.47500       3.10200       1.82600       1.44000       1.45300       1.48100      
16384      1.59700       0.52400       0.50100       0.50200       0.50600       0.51200       4.50100       1.47800       1.41300       1.41600       1.42600       1.44400      
32768      1.08300       0.50000       0.49600       0.49700       0.49800       0.50100       3.05200       1.40900       1.39800       1.40000       1.40400       1.41100      
65536      0.96400       0.49400       0.49400       0.49400       0.49500       0.49600       2.71700       1.39200       1.39200       1.39300       1.39500       1.39900      
131072     0.48900       0.10900       0.16400       0.27200       0.44500       0.46500       1.37700       0.30700       0.46200       0.76700       1.25400       1.31000      
262144     0.04300       0.03200       0.03200       0.03200       0.03200       0.03200       0.12200       0.09000       0.09000       0.09000       0.09000       0.09100      
524288     0.03900       0.03100       0.03200       0.03200       0.03200       0.03200       0.11000       0.08900       0.08900       0.08900       0.08900       0.09000      
1048576    0.03100       0.03100       0.03100       0.03200       0.03200       0.03200       0.08900       0.08800       0.08800       0.08900       0.08900       0.08900      
2097152    0.03100       0.03100       0.03100       0.03100       0.03200       0.03200       0.08900       0.08800       0.08800       0.08800       0.08900       0.08900      
4194304    0.03100       0.03100       0.03100       0.03100       0.03100       0.03200       0.08900       0.08800       0.08800       0.08800       0.08800       0.08900      
8388608    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
