size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.33600      17.88600      17.55500      17.25700      16.96600      0.00000       60.14900      50.42200      49.48900      48.65000      47.82900      0.00000      
2048       11.17400      9.07000       8.92400       7.79200       7.30200       7.42500       31.50100      25.56800      25.15600      21.96600      20.58500      20.93300     
4096       6.86400       3.52700       2.60900       1.78300       1.12500       1.13600       19.35100      9.94200       7.35400       5.02600       3.17200       3.20200      
8192       2.65200       1.41300       0.88900       0.64300       0.65000       0.65300       7.47500       3.98200       2.50700       1.81300       1.83200       1.84000      
16384      1.59700       0.58900       0.56100       0.56000       0.56300       0.56600       4.50100       1.66100       1.58100       1.57900       1.58800       1.59400      
32768      1.08300       0.52900       0.52400       0.52500       0.52500       0.52600       3.05200       1.49300       1.47800       1.48100       1.48100       1.48300      
65536      0.96400       0.50800       0.50800       0.50800       0.50800       0.50800       2.71800       1.43300       1.43100       1.43100       1.43200       1.43200      
131072     0.48900       0.10300       0.12200       0.16800       0.24300       0.25000       1.37700       0.29000       0.34400       0.47400       0.68500       0.70400      
262144     0.04300       0.03200       0.03200       0.03200       0.03200       0.03200       0.12200       0.09100       0.09000       0.09000       0.09000       0.09000      
524288     0.03900       0.03100       0.03100       0.03100       0.03100       0.03100       0.11000       0.08900       0.08800       0.08800       0.08800       0.08800      
1048576    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
2097152    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
4194304    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
8388608    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
