size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.33700      16.84800      18.11200      21.54500      33.85200      0.00000       60.14900      47.49700      51.06000      60.73600      95.43200      0.00000      
2048       11.17400      8.38300       6.69400       6.36000       5.34200       5.78300       31.50100      23.63300      18.87000      17.93100      15.05800      16.30400     
4096       6.86400       2.91700       1.64200       1.11600       1.45300       2.53800       19.35100      8.22200       4.62900       3.14700       4.09500       7.15500      
8192       2.65200       1.10000       0.64000       0.51300       0.76100       1.34600       7.47500       3.10100       1.80400       1.44700       2.14600       3.79400      
16384      1.59700       0.52400       0.50100       0.50300       0.50800       0.71500       4.50100       1.47800       1.41300       1.41700       1.43300       2.01500      
32768      1.08300       0.50000       0.49600       0.49700       0.49800       0.50300       3.05200       1.40900       1.39800       1.40000       1.40400       1.41900      
65536      0.96400       0.49400       0.49400       0.49400       0.49500       0.49600       2.71800       1.39300       1.39200       1.39300       1.39500       1.39900      
131072     0.48900       0.10900       0.16400       0.27200       0.44500       0.46500       1.37700       0.30700       0.46200       0.76700       1.25400       1.31100      
262144     0.04300       0.03200       0.03200       0.03200       0.03200       0.03200       0.12200       0.09000       0.09000       0.09000       0.09000       0.09100      
524288     0.03900       0.03100       0.03200       0.03200       0.03200       0.03200       0.11000       0.08900       0.08900       0.08900       0.08900       0.09000      
1048576    0.03100       0.03100       0.03100       0.03200       0.03200       0.03200       0.08900       0.08800       0.08800       0.08900       0.08900       0.08900      
2097152    0.03100       0.03100       0.03100       0.03100       0.03200       0.03200       0.08900       0.08800       0.08800       0.08800       0.08900       0.08900      
4194304    0.03100       0.03100       0.03100       0.03100       0.03100       0.03200       0.08900       0.08800       0.08800       0.08800       0.08800       0.08900      
8388608    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
