size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.33600      16.48100      16.04300      15.51100      15.50600      0.00000       60.14900      46.46200      45.22700      43.72600      43.71300      0.00000      
2048       11.17400      8.46700       7.28900       6.24700       5.41900       4.78100       31.50100      23.86900      20.54900      17.61100      15.27700      13.47700     
4096       6.86400       3.21200       1.90200       1.20400       0.65700       0.57000       19.35100      9.05500       5.36100       3.39300       1.85200       1.60600      
8192       2.65200       1.14800       0.74700       0.50600       0.50500       0.50500       7.47500       3.23500       2.10600       1.42500       1.42400       1.42400      
16384      1.59700       0.52700       0.50000       0.50000       0.50000       0.50100       4.50100       1.48500       1.40900       1.40800       1.41000       1.41200      
32768      1.08300       0.50000       0.49500       0.49500       0.49500       0.49500       3.05200       1.41000       1.39500       1.39500       1.39500       1.39500      
65536      0.96400       0.49400       0.49300       0.49300       0.49300       0.49300       2.71700       1.39200       1.39000       1.39000       1.39000       1.39000      
131072     0.48900       0.10900       0.16400       0.27200       0.44400       0.46300       1.37700       0.30700       0.46200       0.76600       1.25300       1.30500      
262144     0.04300       0.03200       0.03200       0.03100       0.03100       0.03100       0.12200       0.09000       0.08900       0.08900       0.08900       0.08900      
524288     0.03900       0.03100       0.03100       0.03100       0.03100       0.03100       0.11000       0.08900       0.08800       0.08800       0.08800       0.08800      
1048576    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
2097152    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
4194304    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
8388608    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08800       0.08800       0.08800       0.08800       0.08800      
