size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       21.33700      17.78800      17.50900      16.88800      17.12800      0.00000       60.14900      50.14500      49.36000      47.61000      48.28400      0.00000      
2048       11.17400      8.99400       8.02300       7.10800       6.78500       7.24300       31.50100      25.35600      22.61800      20.03700      19.12800      20.41800     
4096       6.86400       3.52700       2.32100       1.39000       1.12000       1.12000       19.35100      9.94300       6.54300       3.91800       3.15800       3.15600      
8192       2.65200       1.36800       0.88600       0.65600       0.65600       0.65300       7.47500       3.85700       2.49700       1.85000       1.85000       1.84000      
16384      1.59700       0.60600       0.56800       0.56400       0.56500       0.56400       4.50100       1.70800       1.60000       1.59000       1.59200       1.58900      
32768      1.08300       0.53700       0.52300       0.52400       0.52200       0.52000       3.05200       1.51300       1.47300       1.47700       1.47100       1.46600      
65536      0.96400       0.45900       0.44400       0.43900       0.43300       0.42300       2.71800       1.29400       1.25100       1.23700       1.22000       1.19300      
131072     0.48900       0.10500       0.10800       0.11000       0.10900       0.11300       1.37700       0.29700       0.30400       0.30900       0.30800       0.31900      
262144     0.04300       0.03400       0.03600       0.03900       0.03800       0.03900       0.12200       0.09600       0.10200       0.11000       0.10800       0.10900      
524288     0.03900       0.03200       0.03300       0.03300       0.03700       0.03700       0.11000       0.09100       0.09400       0.09200       0.10400       0.10400      
1048576    0.03100       0.03200       0.03200       0.03200       0.03400       0.03600       0.08900       0.08900       0.08900       0.09000       0.09600       0.10100      
2097152    0.03100       0.03100       0.03100       0.03100       0.03200       0.03400       0.08900       0.08900       0.08900       0.08900       0.08900       0.09500      
4194304    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08900       0.08900       0.08800       0.08900       0.08900      
8388608    0.03100       0.03100       0.03100       0.03100       0.03100       0.03100       0.08900       0.08900       0.08900       0.08800       0.08800       0.08800      
