size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.93700      33.84900      32.82000      30.63800      30.74600      0.00000       146.09300     127.13900     123.27700     114.95600     115.53600     0.00000      
2048       26.52000      21.05500      18.52900      14.79400      99.50400      78.99800      69.52200      55.59100      0.00000       0.00000       0.00000       0.00000      
4096       18.44400      11.90300      8.48600       6.87900       6.67100       69.46600      44.66200      31.84000      25.81200      25.03000      0.00000       0.00000      
8192       10.02500      6.67800       5.13700       4.31200       4.63300       37.71600      25.12400      19.32700      16.20200      17.40500      0.00000       0.00000      
16384      4.69300       3.14800       2.71000       2.73800       2.84800       17.65600      11.82900      10.18300      10.28700      10.70200      0.00000       0.00000      
32768      2.71700       1.48300       1.30000       1.21000       1.16600       1.18100       10.19600      5.57400       4.88500       4.54800       4.38300       4.43700      
65536      1.26100       0.62800       0.49200       0.45800       0.51500       0.54400       4.73600       2.36100       1.84800       1.72000       1.93500       2.04400      
131072     0.55200       0.14600       0.12700       0.17900       0.25200       0.33200       2.07300       0.54900       0.47800       0.67300       0.94800       1.24700      
262144     0.34300       0.03900       0.02900       0.03900       0.05800       0.08900       1.29100       0.14600       0.10700       0.14600       0.21800       0.33500      
524288     0.27300       0.00900       0.00500       0.00500       0.00500       0.00600       1.02500       0.03500       0.01900       0.01800       0.01900       0.02200      
1048576    0.01400       0.00200       0.00200       0.00200       0.00200       0.00200       0.05300       0.00900       0.00600       0.00600       0.00600       0.00600      
2097152    0.00600       0.00200       0.00200       0.00200       0.00200       0.00200       0.02200       0.00600       0.00600       0.00600       0.00600       0.00600      
4194304    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
