size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.90100      38.43800      38.71300      39.14100      39.30400      0.00000       146.15900     144.42100     145.45400     147.06100     147.67600     0.00000      
2048       26.46200      25.10500      23.68000      22.80300      23.37800      22.70700      99.42500      94.32400      88.97200      85.67500      87.83500      85.31600     
4096       18.49300      13.30000      11.72500      9.88900       9.34100       9.35100       69.48200      49.97200      44.05400      37.15500      35.09600      35.13400     
8192       10.04300      6.68300       6.01500       5.37100       5.21200       5.18000       37.73400      25.11100      22.60200      20.18200      19.58400      19.44400     
16384      4.71200       3.68800       3.34200       3.32600       3.36300       3.36200       17.70300      13.85700      12.54600      12.49600      12.62400      12.62000     
32768      2.71500       1.78800       1.77700       1.79500       1.82900       1.85300       10.20000      6.71300       6.67800       6.73900       6.87100       6.96100      
65536      1.26000       0.74700       0.58900       0.46200       0.41700       0.38400       4.73500       2.80500       2.21300       1.73500       1.56500       1.44100      
131072     0.55200       0.15900       0.09000       0.06600       0.05600       0.05400       2.07100       0.59600       0.33600       0.24600       0.21000       0.20300      
262144     0.34200       0.04400       0.02600       0.02600       0.02600       0.02500       1.28500       0.16400       0.09800       0.09800       0.09600       0.09600      
524288     0.27400       0.01200       0.00800       0.00800       0.00800       0.00800       1.03000       0.04500       0.02900       0.03000       0.03100       0.03100      
1048576    0.01500       0.00300       0.00300       0.00300       0.00300       0.00300       0.05500       0.01300       0.01000       0.01100       0.01100       0.01100      
2097152    0.00600       0.00200       0.00200       0.00200       0.00200       0.00200       0.02200       0.00700       0.00700       0.00700       0.00800       0.00800      
4194304    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00400       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
