size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.90900      33.87600      33.45100      31.81900      34.82000      0.00000       146.22000     127.30700     125.71100     119.57700     130.85500     0.00000      
2048       26.47000      21.07200      19.19300      16.61200      20.49400      29.86600      99.47600      79.18800      72.12700      62.42900      77.01500      112.23600    
4096       18.50200      11.94400      8.50900       8.72600       9.23800       18.29200      69.53100      44.88500      31.97500      32.79300      34.71800      68.74300     
8192       10.04100      7.29000       5.51400       5.38100       7.00200       8.02400       37.71800      27.39400      20.72100      20.22300      26.31300      30.15400     
16384      4.70900       3.14700       3.46800       3.68800       3.72400       5.25500       17.69800      11.82600      13.03200      13.86100      13.99500      19.73800     
32768      2.71700       1.48300       1.29700       1.21600       1.21500       1.20600       10.20700      5.57200       4.87100       4.57100       4.56400       4.53000      
65536      1.26300       0.62900       0.50700       0.50400       0.59000       0.62600       4.74300       2.36200       1.90500       1.89500       2.21500       2.35000      
131072     0.55300       0.14800       0.14300       0.21500       0.31000       0.41200       2.07700       0.55700       0.53900       0.80800       1.16400       1.54900      
262144     0.34300       0.03900       0.03100       0.04400       0.07000       0.11200       1.28900       0.14800       0.11700       0.16700       0.26300       0.42000      
524288     0.27400       0.00900       0.00500       0.00500       0.00500       0.00600       1.02800       0.03500       0.01900       0.01900       0.02000       0.02400      
1048576    0.01400       0.00200       0.00200       0.00200       0.00200       0.00200       0.05400       0.00900       0.00600       0.00600       0.00600       0.00600      
2097152    0.00600       0.00200       0.00200       0.00200       0.00200       0.00200       0.02200       0.00600       0.00600       0.00600       0.00600       0.00600      
4194304    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
