size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.93100      35.86500      36.14600      35.93200      0.00000       146.02100     134.68700     135.59600     134.79600     0.00000       0.00000       0.00000      
2048       26.50500      22.54600      20.13000      17.30100      16.59900      99.42900      84.56400      75.67600      65.03900      62.40200      0.00000       0.00000      
4096       18.48600      12.20300      8.66600       6.13700       5.50100       69.43000      45.87400      32.57200      23.07100      20.67600      0.00000       0.00000      
8192       10.04000      5.77900       4.67200       3.93500       3.86600       37.73600      21.71300      17.55900      14.79200      14.53100      0.00000       0.00000      
16384      4.69900       3.19700       2.73700       2.71400       2.72000       2.71800       17.65800      12.01000      10.28700      10.19500      10.22200      10.21000     
32768      2.70900       1.56900       1.49100       1.46700       1.45200       1.43700       10.17900      5.89600       5.60400       5.51000       5.45800       5.39800      
65536      1.26100       0.67000       0.53100       0.42300       0.39000       0.37300       4.74100       2.51900       1.99500       1.58900       1.46500       1.40100      
131072     0.55200       0.14400       0.07700       0.04900       0.03700       0.03600       2.07400       0.54000       0.29000       0.18300       0.13900       0.13600      
262144     0.34300       0.03700       0.01900       0.01800       0.01800       0.01800       1.29100       0.13900       0.07000       0.06900       0.06900       0.06800      
524288     0.27400       0.01000       0.00500       0.00500       0.00400       0.00400       1.02900       0.03600       0.01800       0.01700       0.01600       0.01700      
1048576    0.01400       0.00200       0.00200       0.00200       0.00200       0.00200       0.05400       0.00900       0.00600       0.00600       0.00600       0.00600      
2097152    0.00600       0.00200       0.00200       0.00200       0.00200       0.00200       0.02300       0.00600       0.00600       0.00600       0.00600       0.00600      
4194304    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
