size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.88100      37.94600      37.27000      37.31900      37.56600      0.00000       146.05100     142.60400     140.00100     140.28900     141.11200     0.00000      
2048       26.44400      24.25500      22.00900      20.90100      21.39100      22.78200      99.33300      91.15200      82.73400      78.51300      80.35100      85.57600     
4096       18.48500      13.37700      9.82800       9.25800       9.23700       69.46800      50.24900      36.93600      34.79200      34.69800      0.00000       0.00000      
8192       10.02900      6.64900       6.05800       5.52400       5.43700       5.29200       37.67200      24.98800      22.76500      20.75800      20.39600      19.88700     
16384      4.70300       3.73500       3.43200       3.42600       3.45700       3.43400       17.67500      14.03700      12.90300      12.87300      12.96700      12.88100     
32768      2.71300       1.81600       1.80300       1.85500       10.19500      6.82600       6.77300       6.96000       0.00000       0.00000       0.00000       0.00000      
65536      1.25900       0.72800       0.57400       0.44400       0.36900       4.73000       2.73200       2.15700       1.66700       1.38600       0.00000       0.00000      
131072     0.54700       0.15900       0.09100       0.06800       0.06100       2.05500       0.59700       0.34300       0.25500       0.22900       0.00000       0.00000      
262144     0.34200       0.04400       0.02600       0.02700       1.28400       0.16400       0.09800       0.10100       0.00000       0.00000       0.00000       0.00000      
524288     0.27400       0.01200       0.00800       0.00800       0.00800       1.03000       0.04700       0.02800       0.03000       0.03100       0.00000       0.00000      
1048576    0.01400       0.00300       0.00300       0.00300       0.00300       0.00300       0.05400       0.01300       0.01000       0.01100       0.01100       0.01100      
2097152    0.00600       0.00200       0.00100       0.00100       0.00100       0.00100       0.02200       0.00600       0.00500       0.00500       0.00500       0.00500      
4194304    0.00100       0.00000       0.00000       0.00000       0.00300       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00000      
