size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.78700      33.61600      32.59400      30.34700      30.31700      0.00000       145.81500     126.37300     122.53300     114.08500     113.97300     0.00000      
2048       26.24800      20.84000      18.24200      15.25900      14.78900      14.27800      98.67600      78.34600      68.57100      57.35500      55.59500      53.67200     
4096       16.82700      11.71100      8.28400       6.52300       6.23600       6.76700       63.26000      44.02100      31.14000      24.52100      23.44000      25.44000     
8192       7.59200       6.30600       4.95300       4.00100       4.22700       4.73200       28.54000      23.70700      18.61900      15.04100      15.88800      17.78800     
16384      4.69300       2.83700       2.54500       2.56000       2.65100       2.88000       17.64000      10.66500      9.56500       9.62400       9.96600       10.82400     
32768      2.84700       1.55900       1.40500       1.36900       1.36600       1.41100       10.70100      5.85900       5.28300       5.14600       5.13300       5.30200      
65536      1.89300       1.00200       0.89200       0.84400       0.80500       0.77900       7.11400       3.76800       3.35500       3.17400       3.02400       2.92900      
131072     0.90400       0.53700       0.40200       0.40200       0.42100       0.42700       3.39900       2.01900       1.51000       1.51300       1.58400       1.60400      
262144     0.42400       0.20000       0.12100       0.12800       0.19100       0.24500       1.59200       0.75100       0.45600       0.48200       0.71900       0.92000      
524288     0.24100       0.04200       0.01500       0.01300       0.01500       0.02300       0.90600       0.15800       0.05600       0.04800       0.05700       0.08600      
1048576    0.12500       0.00500       0.00100       0.00100       0.00100       0.00100       0.47100       0.01800       0.00600       0.00500       0.00500       0.00500      
2097152    0.11300       0.00100       0.00000       0.00000       0.00000       0.00000       0.42300       0.00200       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00000       0.00000       0.00000       0.00000      
