size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.76900      38.23500      38.52400      38.99700      39.18500      0.00000       145.68400     143.97500     145.06400     146.53900     147.24800     0.00000      
2048       26.24200      24.96200      23.47800      22.48200      23.04000      22.29700      98.61000      93.80100      88.40700      84.65800      86.75600      83.95800     
4096       16.80300      13.07800      11.45600      9.67700       9.13400       8.98800       63.27300      49.24600      43.13800      36.36200      34.32400      33.84500     
8192       7.60800       6.23900       5.72400       5.13000       4.96100       4.91000       28.58700      23.44300      21.55200      19.27600      18.64200      18.45100     
16384      4.70200       3.33200       3.19100       3.19400       3.18600       3.13400       17.66900      12.51900      11.99200      12.00400      11.97100      11.80000     
32768      2.83900       1.92300       1.93600       1.97900       2.00500       2.01600       10.69100      7.22500       7.27400       7.43800       7.53500       7.57700      
65536      1.89500       1.20500       1.20900       1.24400       1.27000       1.28400       7.12300       4.52800       4.54300       4.67500       4.77200       4.82300      
131072     0.90000       0.61600       0.44300       0.37200       0.32900       0.30500       3.38000       2.31200       1.66300       1.39700       1.23800       1.14500      
262144     0.42200       0.20700       0.09500       0.04300       0.03800       0.03500       1.58600       0.77600       0.35800       0.16300       0.14200       0.13000      
524288     0.24400       0.04400       0.01300       0.01100       0.01200       0.01100       0.91600       0.16400       0.04900       0.04300       0.04400       0.04200      
1048576    0.12600       0.00600       0.00300       0.00300       0.00300       0.00300       0.47400       0.02200       0.01000       0.01000       0.01000       0.01100      
2097152    0.11200       0.00100       0.00000       0.00000       0.00000       0.00000       0.42100       0.00300       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
