size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.76000      33.63300      33.21200      31.28500      34.20600      0.00000       145.71100     126.43900     124.85500     117.61000     128.59100     0.00000      
2048       26.22500      20.86100      19.07800      16.35800      20.24400      28.80400      98.58900      78.42500      71.72000      61.49600      76.10300      108.28500    
4096       16.81000      11.77400      8.35300       8.34700       8.73200       17.77100      63.19500      44.26300      31.40300      31.38000      32.82700      66.80800     
8192       7.59300       6.86600       5.31300       4.94600       6.24700       7.23800       28.54400      25.80900      19.97100      18.59400      23.48400      27.20600     
16384      4.69600       2.84400       3.41300       3.44600       3.69000       5.10300       17.65100      10.69000      12.82800      12.95500      13.87000      19.18400     
32768      2.84600       1.56100       1.40700       2.13200       2.13600       2.21800       10.69600      5.86900       5.28900       8.01300       8.02700       8.33600      
65536      1.88900       1.00600       0.89800       0.85000       0.82500       0.81900       7.10000       3.78000       3.37600       3.19600       3.10000       3.07700      
131072     0.90600       0.54600       0.42800       0.45800       0.48700       0.49500       3.40500       2.05100       1.61000       1.72300       1.83200       1.86200      
262144     0.42400       0.21100       0.14100       0.16800       0.25800       0.32300       1.59400       0.79400       0.53000       0.63000       0.96900       1.21500      
524288     0.24200       0.04400       0.01800       0.01600       0.01900       0.03200       0.90900       0.16500       0.06600       0.05900       0.07100       0.11900      
1048576    0.12600       0.00500       0.00100       0.00100       0.00100       0.00100       0.47400       0.01800       0.00500       0.00500       0.00500       0.00500      
2097152    0.11300       0.00100       0.00000       0.00000       0.00000       0.00000       0.42400       0.00200       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
