size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.76000      35.59900      35.90300      35.71100      34.96900      0.00000       145.71100     133.82900     134.97300     134.25200     131.46100     0.00000      
2048       26.22500      22.35900      20.01200      17.11500      16.98400      16.27700      98.58900      84.05300      75.23300      64.34100      63.84700      61.19100     
4096       16.81000      12.07900      8.53500       5.98700       5.35500       5.22800       63.19500      45.41000      32.08400      22.50600      20.13000      19.65500     
8192       7.59300       5.41000       4.47300       3.70300       3.62000       3.61000       28.54400      20.33700      16.81500      13.92300      13.60900      13.57300     
16384      4.68200       2.85400       2.55900       2.54100       2.53400       2.53100       17.60300      10.73000      9.61900       9.55300       9.52700       9.51500      
32768      2.84100       1.62100       1.52100       1.47600       1.46100       1.45500       10.67900      6.09500       5.71700       5.54900       5.49100       5.47100      
65536      1.89200       1.05600       1.01500       1.02600       1.02500       1.02200       7.11300       3.97000       3.81600       3.85600       3.85300       3.84000      
131072     0.90400       0.55200       0.41300       0.37100       0.33600       0.31100       3.39700       2.07500       1.55400       1.39400       1.26200       1.16900      
262144     0.42500       0.19000       0.08600       0.03500       0.02800       0.02600       1.59600       0.71600       0.32100       0.13000       0.10500       0.09900      
524288     0.24300       0.04200       0.01000       0.00800       0.00700       0.00700       0.91400       0.15800       0.03700       0.02800       0.02600       0.02500      
1048576    0.12500       0.00500       0.00100       0.00100       0.00100       0.00100       0.47100       0.01800       0.00500       0.00500       0.00500       0.00500      
2097152    0.11200       0.00100       0.00000       0.00000       0.00000       0.00000       0.42200       0.00200       0.00000       0.00000       0.00000       0.00000      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
