size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       38.79600      37.78200      37.14500      37.16900      37.44300      0.00000       145.93800     142.12400     139.73000     139.65500     140.79600     0.00000      
2048       26.22900      24.12200      21.80700      20.75900      21.23900      22.61700      98.62700      90.63300      82.00700      77.99800      79.80100      84.97700     
4096       16.85200      13.24300      11.10300      9.56500       8.97500       8.97800       63.31800      49.76000      41.71800      35.93900      33.72300      33.76200     
8192       7.57100       6.21300       5.82900       5.25300       5.07400       4.98400       28.46900      23.36100      21.90300      19.73600      19.07800      18.74000     
16384      4.67200       3.38500       3.24700       3.23500       3.23100       17.56600      12.71800      12.21000      12.16300      12.13900      0.00000       0.00000      
32768      2.84600       1.95200       1.94800       1.98000       2.00000       2.00900       10.70000      7.34100       7.32700       7.44500       7.52400       7.55400      
65536      1.89500       1.18000       1.15500       1.16800       1.18100       1.18800       7.11800       4.43600       4.34600       4.38900       4.43900       4.46200      
131072     0.90600       0.59500       0.34400       0.29700       0.26700       3.40300       2.23700       1.29400       1.11400       1.00300       0.00000       0.00000      
262144     0.42400       0.19600       0.09400       0.04800       0.04100       0.03900       1.59600       0.73800       0.35300       0.17900       0.15600       0.14500      
524288     0.24000       0.04100       0.01500       0.01200       0.01200       0.01200       0.90500       0.15300       0.05500       0.04600       0.04400       0.04600      
1048576    0.12600       0.00600       0.00200       0.00200       0.00200       0.00300       0.47300       0.02200       0.00900       0.00900       0.00900       0.01000      
2097152    0.11200       0.00100       0.00000       0.00000       0.00000       0.00000       0.42200       0.00300       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00000       0.00000       0.00000       0.00000       0.00000      
