size       miss1         miss2         miss4         miss8         miss16        miss32        cpi1          cpi2          cpi4          cpi8          cpi16         cpi32        
1024       39.81100      33.68800      32.76000      31.88000      32.18500      0.00000       150.61900     127.45300     123.94300     120.61500     121.76600     0.00000      
2048       26.83700      21.44200      18.82200      15.56200      15.58100      15.23800      101.53500     81.12400      71.21100      58.87600      58.94700      57.66400     
4096       18.31600      12.10200      8.10100       6.46700       6.28500       7.44000       69.29500      45.78500      30.64800      24.46800      23.75900      28.12700     
8192       10.26600      6.27100       4.79400       4.06200       4.38100       4.94000       38.84100      23.72500      18.13600      15.36900      16.57400      18.69100     
16384      4.99000       3.02200       2.62300       2.60900       2.69100       2.92400       18.86500      11.42500      9.92400       9.87100       10.18100      11.06500     
32768      3.01800       1.48600       1.26100       1.17200       1.13100       1.14700       11.41800      5.62300       4.77300       4.43500       4.28000       4.34200      
65536      1.48600       0.58500       0.44200       0.44000       0.50000       0.55500       5.62200       2.21200       1.67400       1.66400       1.89400       2.10000      
131072     0.49800       0.21500       0.13000       0.17200       0.26000       0.34300       1.88300       0.81500       0.49300       0.65200       0.98300       1.29800      
262144     0.11200       0.04000       0.03000       0.03400       0.04500       0.06800       0.42400       0.15200       0.11200       0.12700       0.16900       0.25600      
524288     0.05700       0.00300       0.00300       0.00200       0.00200       0.00200       0.21500       0.01200       0.01000       0.00700       0.00700       0.00700      
1048576    0.01000       0.00000       0.00000       0.00000       0.00000       0.00000       0.03800       0.00200       0.00100       0.00100       0.00100       0.00100      
2097152    0.00100       0.00000       0.00000       0.00000       0.00000       0.00000       0.00300       0.00100       0.00100       0.00100       0.00100       0.00100      
4194304    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
8388608    0.00000       0.00000       0.00000       0.00000       0.00000       0.00000       0.00100       0.00100       0.00100       0.00100       0.00100       0.00100      
